          column_name  column_type
                 date TIMESTAMP_NS
                 time      INTEGER
          trading_day      INTEGER
  total_10_bid_volume       BIGINT
  total_10_ask_volume       BIGINT
           instrument      VARCHAR
                 open        FLOAT
                close        FLOAT
          deal_number      INTEGER
                  low        FLOAT
               volume       BIGINT
               amount       DOUBLE
                 high        FLOAT
     total_ask_volume       BIGINT
     total_bid_volume       BIGINT
        bid_avg_price        FLOAT
        ask_avg_price        FLOAT
            pre_close        FLOAT
      ask_num_orders1      INTEGER
     ask_num_orders10      INTEGER
      ask_num_orders2      INTEGER
      ask_num_orders3      INTEGER
      ask_num_orders4      INTEGER
      ask_num_orders5      INTEGER
      ask_num_orders6      INTEGER
      ask_num_orders7      INTEGER
      ask_num_orders8      INTEGER
      ask_num_orders9      INTEGER
           ask_price1        FLOAT
          ask_price10        FLOAT
           ask_price2        FLOAT
           ask_price3        FLOAT
           ask_price4        FLOAT
           ask_price5        FLOAT
           ask_price6        FLOAT
           ask_price7        FLOAT
           ask_price8        FLOAT
           ask_price9        FLOAT
          ask_volume1       BIGINT
         ask_volume10      INTEGER
          ask_volume2      INTEGER
          ask_volume3      INTEGER
          ask_volume4      INTEGER
          ask_volume5      INTEGER
          ask_volume6      INTEGER
          ask_volume7      INTEGER
          ask_volume8      INTEGER
          ask_volume9      INTEGER
      bid_num_orders1      INTEGER
     bid_num_orders10      INTEGER
      bid_num_orders2      INTEGER
      bid_num_orders3      INTEGER
      bid_num_orders4      INTEGER
      bid_num_orders5      INTEGER
      bid_num_orders6      INTEGER
      bid_num_orders7      INTEGER
      bid_num_orders8      INTEGER
      bid_num_orders9      INTEGER
           bid_price1        FLOAT
          bid_price10        FLOAT
           bid_price2        FLOAT
           bid_price3        FLOAT
           bid_price4        FLOAT
           bid_price5        FLOAT
           bid_price6        FLOAT
           bid_price7        FLOAT
           bid_price8        FLOAT
           bid_price9        FLOAT
          bid_volume1       BIGINT
         bid_volume10      INTEGER
          bid_volume2      INTEGER
          bid_volume3      INTEGER
          bid_volume4      INTEGER
          bid_volume5      INTEGER
          bid_volume6      INTEGER
          bid_volume7      INTEGER
          bid_volume8      INTEGER
          bid_volume9      INTEGER
         entrust_rate        FLOAT
entrust_differ_volume       BIGINT
entrust_differ_amount       DOUBLE
   entrust_bid_amount       DOUBLE
   entrust_ask_amount       DOUBLE
           bid_amount       DOUBLE
           ask_amount       DOUBLE
           bid_volume       BIGINT
           ask_volume       BIGINT
  beyond_1_ask_amount       DOUBLE
  beyond_1_bid_amount       DOUBLE
  beyond_2_bid_amount       DOUBLE
  beyond_2_ask_amount       DOUBLE
  beyond_3_bid_amount       DOUBLE
  beyond_3_ask_amount       DOUBLE
  beyond_4_bid_amount       DOUBLE
  beyond_4_ask_amount       DOUBLE
  beyond_5_bid_amount       DOUBLE
  beyond_5_ask_amount       DOUBLE
  beyond_6_bid_amount       DOUBLE
  beyond_6_ask_amount       DOUBLE
  beyond_7_bid_amount       DOUBLE
  beyond_7_ask_amount       DOUBLE
  beyond_8_bid_amount       DOUBLE
  beyond_8_ask_amount       DOUBLE
  beyond_9_bid_amount       DOUBLE
  beyond_9_ask_amount       DOUBLE
 beyond_10_bid_amount       DOUBLE
 beyond_10_ask_amount       DOUBLE
 beyond_11_bid_amount       DOUBLE
 beyond_11_ask_amount       DOUBLE
 beyond_12_bid_amount       DOUBLE
 beyond_12_ask_amount       DOUBLE
 beyond_13_bid_amount       DOUBLE
 beyond_13_ask_amount       DOUBLE
  beyond_1_ask_volume      INTEGER
  beyond_1_bid_volume      INTEGER
  beyond_2_ask_volume      INTEGER
  beyond_2_bid_volume      INTEGER
  beyond_3_ask_volume      INTEGER
  beyond_3_bid_volume      INTEGER
  beyond_4_ask_volume      INTEGER
  beyond_4_bid_volume      INTEGER
  beyond_5_ask_volume      INTEGER
  beyond_5_bid_volume      INTEGER
  beyond_6_ask_volume      INTEGER
  beyond_6_bid_volume      INTEGER
  beyond_7_ask_volume      INTEGER
  beyond_7_bid_volume      INTEGER
  beyond_8_ask_volume      INTEGER
  beyond_8_bid_volume      INTEGER
  beyond_9_ask_volume      INTEGER
  beyond_9_bid_volume      INTEGER
 beyond_10_ask_volume      INTEGER
 beyond_10_bid_volume      INTEGER
 beyond_11_ask_volume      INTEGER
 beyond_11_bid_volume      INTEGER
 beyond_12_ask_volume      INTEGER
 beyond_12_bid_volume      INTEGER
 beyond_13_ask_volume      INTEGER
 beyond_13_bid_volume      INTEGER
  initiative_bid_rate        FLOAT
initiative_bid_amount       DOUBLE
initiative_bid_volume       BIGINT
  initiative_ask_rate        FLOAT
initiative_ask_volume       BIGINT
initiative_ask_amount       DOUBLE
