     column_name  column_type
      instrument      VARCHAR
            name      VARCHAR
       full_name      VARCHAR
         en_name      VARCHAR
       used_name      VARCHAR
    instrument_b      VARCHAR
          name_b      VARCHAR
   instrument_hk      VARCHAR
         name_hk      VARCHAR
        exchange      VARCHAR
     list_sector      TINYINT
   security_type      VARCHAR
        industry      VARCHAR
     office_addr      VARCHAR
    regster_addr      VARCHAR
register_captial       DOUBLE
  nums_employees       DOUBLE
   nums_managers       DOUBLE
        law_firm      VARCHAR
    account_firm      VARCHAR
         profile      VARCHAR
      estab_date TIMESTAMP_NS
       list_date TIMESTAMP_NS
     delist_date TIMESTAMP_NS
     online_list TIMESTAMP_NS
       ipo_price       DOUBLE
        ipo_nums       DOUBLE
          ipo_pe       DOUBLE
    ipo_parvalue       DOUBLE
net_amount_funds       DOUBLE
    offline_dtor       DOUBLE
            dtor       DOUBLE
          f_open       DOUBLE
          f_high       DOUBLE
         f_close       DOUBLE
      f_turnover       DOUBLE
     corp_nature      VARCHAR
      corp_scale      VARCHAR
