                              column_name  column_type
                                     date TIMESTAMP_NS
                               instrument      VARCHAR
          hf_buy_trades_exlarge_order_act       DOUBLE
            hf_buy_trades_large_order_act       DOUBLE
              hf_buy_trades_med_order_act       DOUBLE
            hf_buy_trades_small_order_act       DOUBLE
                         hf_buy_value_act       DOUBLE
               hf_buy_value_exlarge_order       DOUBLE
           hf_buy_value_exlarge_order_act       DOUBLE
                 hf_buy_value_large_order       DOUBLE
             hf_buy_value_large_order_act       DOUBLE
                   hf_buy_value_med_order       DOUBLE
               hf_buy_value_med_order_act       DOUBLE
                 hf_buy_value_small_order       DOUBLE
             hf_buy_value_small_order_act       DOUBLE
                        hf_buy_volume_act       DOUBLE
              hf_buy_volume_exlarge_order       DOUBLE
          hf_buy_volume_exlarge_order_act       DOUBLE
                hf_buy_volume_large_order       DOUBLE
            hf_buy_volume_large_order_act       DOUBLE
                  hf_buy_volume_med_order       DOUBLE
              hf_buy_volume_med_order_act       DOUBLE
                hf_buy_volume_small_order       DOUBLE
            hf_buy_volume_small_order_act       DOUBLE
        hf_close_buy_volume_exlarge_order       DOUBLE
    hf_close_buy_volume_exlarge_order_act       DOUBLE
          hf_close_buy_volume_large_order       DOUBLE
      hf_close_buy_volume_large_order_act       DOUBLE
            hf_close_buy_volume_med_order       DOUBLE
        hf_close_buy_volume_med_order_act       DOUBLE
          hf_close_buy_volume_small_order       DOUBLE
      hf_close_buy_volume_small_order_act       DOUBLE
                hf_close_net_inflow_value       DOUBLE
           hf_close_net_inflow_value_rate       DOUBLE
               hf_close_net_inflow_volume       DOUBLE
          hf_close_net_inflow_volume_rate       DOUBLE
hf_close_netinflow_rate_exlarge_order_act       DOUBLE
  hf_close_netinflow_rate_large_order_act       DOUBLE
    hf_close_netinflow_rate_med_order_act       DOUBLE
  hf_close_netinflow_rate_small_order_act       DOUBLE
       hf_close_sell_volume_exlarge_order       DOUBLE
   hf_close_sell_volume_exlarge_order_act       DOUBLE
         hf_close_sell_volume_large_order       DOUBLE
     hf_close_sell_volume_large_order_act       DOUBLE
           hf_close_sell_volume_med_order       DOUBLE
       hf_close_sell_volume_med_order_act       DOUBLE
         hf_close_sell_volume_small_order       DOUBLE
     hf_close_sell_volume_small_order_act       DOUBLE
               hf_amount_auction_am_ratio       DOUBLE
              hf_buy_orders_exlarge_order       DOUBLE
                hf_buy_orders_large_order       DOUBLE
                  hf_buy_orders_med_order       DOUBLE
                hf_buy_orders_small_order       DOUBLE
                      hf_close_volume_ask       DOUBLE
                      hf_close_volume_bid       DOUBLE
               hf_continuous_volume_ratio       DOUBLE
                             hf_corr_vp_1       DOUBLE
                            hf_corr_vp_10       DOUBLE
                            hf_corr_vp_11       DOUBLE
                            hf_corr_vp_12       DOUBLE
                            hf_corr_vp_13       DOUBLE
                             hf_corr_vp_2       DOUBLE
                             hf_corr_vp_3       DOUBLE
                             hf_corr_vp_4       DOUBLE
                             hf_corr_vp_5       DOUBLE
                             hf_corr_vp_6       DOUBLE
                             hf_corr_vp_7       DOUBLE
                             hf_corr_vp_8       DOUBLE
                             hf_corr_vp_9       DOUBLE
                       hf_cross_night_chg       DOUBLE
                     hf_last_price_stage1       DOUBLE
                     hf_last_price_stage2       DOUBLE
                      hf_net_inflow_value       DOUBLE
                 hf_net_inflow_value_rate       DOUBLE
                     hf_net_inflow_volume       DOUBLE
                hf_net_inflow_volume_rate       DOUBLE
      hf_netinflow_rate_exlarge_order_act       DOUBLE
        hf_netinflow_rate_large_order_act       DOUBLE
          hf_netinflow_rate_med_order_act       DOUBLE
        hf_netinflow_rate_small_order_act       DOUBLE
                            hf_num_trades       DOUBLE
         hf_open_buy_volume_exlarge_order       DOUBLE
     hf_open_buy_volume_exlarge_order_act       DOUBLE
           hf_open_buy_volume_large_order       DOUBLE
       hf_open_buy_volume_large_order_act       DOUBLE
             hf_open_buy_volume_med_order       DOUBLE
         hf_open_buy_volume_med_order_act       DOUBLE
           hf_open_buy_volume_small_order       DOUBLE
       hf_open_buy_volume_small_order_act       DOUBLE
                   hf_open_max_cng_stage1       DOUBLE
                   hf_open_max_cng_stage2       DOUBLE
                   hf_open_min_cng_stage1       DOUBLE
                   hf_open_min_cng_stage2       DOUBLE
                 hf_open_net_inflow_value       DOUBLE
            hf_open_net_inflow_value_rate       DOUBLE
                hf_open_net_inflow_volume       DOUBLE
           hf_open_net_inflow_volume_rate       DOUBLE
 hf_open_netinflow_rate_exlarge_order_act       DOUBLE
   hf_open_netinflow_rate_large_order_act       DOUBLE
     hf_open_netinflow_rate_med_order_act       DOUBLE
   hf_open_netinflow_rate_small_order_act       DOUBLE
        hf_open_sell_volume_exlarge_order       DOUBLE
    hf_open_sell_volume_exlarge_order_act       DOUBLE
          hf_open_sell_volume_large_order       DOUBLE
      hf_open_sell_volume_large_order_act       DOUBLE
            hf_open_sell_volume_med_order       DOUBLE
        hf_open_sell_volume_med_order_act       DOUBLE
          hf_open_sell_volume_small_order       DOUBLE
      hf_open_sell_volume_small_order_act       DOUBLE
                       hf_open_volume_ask       DOUBLE
                       hf_open_volume_bid       DOUBLE
                      hf_price_avg_stage2       DOUBLE
                  hf_price_chg_abs_stage2       DOUBLE
                      hf_price_chg_stage1       DOUBLE
                      hf_price_chg_stage2       DOUBLE
                 hf_price_decrease_stage2       BIGINT
                 hf_price_increase_stage2       BIGINT
                      hf_price_max_stage2       DOUBLE
                      hf_price_min_stage2       DOUBLE
                  hf_price_pct_chg_stage2       DOUBLE
                    hf_price_range_stage1       DOUBLE
                    hf_price_range_stage2       DOUBLE
                     hf_ratio_realdownstd       DOUBLE
                       hf_ratio_realupstd       DOUBLE
                        hf_ratio_volume_1       DOUBLE
                       hf_ratio_volume_10       DOUBLE
                       hf_ratio_volume_12       DOUBLE
                       hf_ratio_volume_13       DOUBLE
                        hf_ratio_volume_2       DOUBLE
                        hf_ratio_volume_3       DOUBLE
                        hf_ratio_volume_4       DOUBLE
                        hf_ratio_volume_5       DOUBLE
                        hf_ratio_volume_6       DOUBLE
                        hf_ratio_volume_7       DOUBLE
                        hf_ratio_volume_8       DOUBLE
                        hf_ratio_volume_9       DOUBLE
                          hf_real_downstd       DOUBLE
                          hf_real_downvar       DOUBLE
                         hf_real_kurtosis       DOUBLE
                       hf_real_kurtosis_3       DOUBLE
                      hf_real_kurtosis_5m       DOUBLE
                       hf_real_kurtosis_6       DOUBLE
                             hf_real_skew       DOUBLE
                           hf_real_skew_3       DOUBLE
                          hf_real_skew_5m       DOUBLE
                           hf_real_skew_6       DOUBLE
                              hf_real_std       DOUBLE
                            hf_real_std_3       DOUBLE
                           hf_real_std_5m       DOUBLE
                            hf_real_std_6       DOUBLE
                            hf_real_upstd       DOUBLE
                            hf_real_upvar       DOUBLE
                              hf_real_var       DOUBLE
                            hf_real_var_3       DOUBLE
                           hf_real_var_5m       DOUBLE
                            hf_real_var_6       DOUBLE
                              hf_ret_in_1       DOUBLE
                             hf_ret_in_10       DOUBLE
                             hf_ret_in_11       DOUBLE
                             hf_ret_in_12       DOUBLE
                             hf_ret_in_13       DOUBLE
                              hf_ret_in_2       DOUBLE
                              hf_ret_in_3       DOUBLE
                              hf_ret_in_4       DOUBLE
                              hf_ret_in_5       DOUBLE
                              hf_ret_in_6       DOUBLE
                              hf_ret_in_7       DOUBLE
                              hf_ret_in_8       DOUBLE
