        column_name  column_type
               date TIMESTAMP_NS
         instrument      VARCHAR
    sw_level1_close       DOUBLE
     sw_level1_open       DOUBLE
     sw_level1_high       DOUBLE
      sw_level1_low       DOUBLE
   sw_level1_volume       DOUBLE
   sw_level1_amount       DOUBLE
     sw_level1_turn       DOUBLE
     sw_level1_name      VARCHAR
sw_level_index_code      VARCHAR
      sw2021_level1      VARCHAR
      sw2021_level2      VARCHAR
      sw2021_level3      VARCHAR
      sw2014_level1      VARCHAR
      sw2014_level2      VARCHAR
      sw2014_level3      VARCHAR
          cs_level1      VARCHAR
          cs_level2      VARCHAR
          cs_level3      VARCHAR
 sw2021_level1_name      VARCHAR
 sw2021_level2_name      VARCHAR
 sw2021_level3_name      VARCHAR
 sw2014_level1_name      VARCHAR
 sw2014_level2_name      VARCHAR
 sw2014_level3_name      VARCHAR
     cs_level1_name      VARCHAR
     cs_level2_name      VARCHAR
     cs_level3_name      VARCHAR
