                        column_name  column_type
                               date TIMESTAMP_NS
                         instrument      VARCHAR
                        report_date TIMESTAMP_NS
                              shift      TINYINT
                 cash_to_revenue_lf       DOUBLE
                cash_to_revenue_mrq       DOUBLE
                cash_to_revenue_ttm       DOUBLE
                cffoa_to_revenue_lf       DOUBLE
               cffoa_to_revenue_mrq       DOUBLE
               cffoa_to_revenue_ttm       DOUBLE
   cffoa_to_operating_net_income_lf       DOUBLE
  cffoa_to_operating_net_income_mrq       DOUBLE
  cffoa_to_operating_net_income_ttm       DOUBLE
 cffoa_to_net_profit_from_parent_lf       DOUBLE
cffoa_to_net_profit_from_parent_mrq       DOUBLE
cffoa_to_net_profit_from_parent_ttm       DOUBLE
                capex_to_dep_amo_lf       DOUBLE
               capex_to_dep_amo_mrq       DOUBLE
               capex_to_dep_amo_ttm       DOUBLE
          cffoa_to_total_revenue_lf       DOUBLE
         cffoa_to_total_revenue_mrq       DOUBLE
         cffoa_to_total_revenue_ttm       DOUBLE
                     cffoa_ratio_lf       DOUBLE
                    cffoa_ratio_mrq       DOUBLE
                    cffoa_ratio_ttm       DOUBLE
                     cffia_ratio_lf       DOUBLE
                    cffia_ratio_mrq       DOUBLE
                    cffia_ratio_ttm       DOUBLE
                     cfffa_ratio_lf       DOUBLE
                    cfffa_ratio_mrq       DOUBLE
                    cfffa_ratio_ttm       DOUBLE
                  cash_to_invest_lf       DOUBLE
                 cash_to_invest_mrq       DOUBLE
                 cash_to_invest_ttm       DOUBLE
                  cash_to_assets_lf       DOUBLE
                 cash_to_assets_mrq       DOUBLE
                 cash_to_assets_ttm       DOUBLE
          cash_dividend_coverage_lf       DOUBLE
         cash_dividend_coverage_mrq       DOUBLE
         cash_dividend_coverage_ttm       DOUBLE
