                        column_name  column_type
                               date TIMESTAMP_NS
                         instrument      VARCHAR
                        report_date TIMESTAMP_NS
                              shift      TINYINT
                   current_ratio_lf       DOUBLE
                     quick_ratio_lf       DOUBLE
              simple_quick_ratio_lf       DOUBLE
        conservative_quick_ratio_lf       DOUBLE
                      cash_ratio_lf       DOUBLE
            cash_to_expired_debt_lf       DOUBLE
           cash_to_expired_debt_mrq       DOUBLE
           cash_to_expired_debt_ttm       DOUBLE
               cffoa_to_interest_lf       DOUBLE
              cffoa_to_interest_mrq       DOUBLE
              cffoa_to_interest_ttm       DOUBLE
                    equity_ratio_lf       DOUBLE
               liab_to_net_asset_lf       DOUBLE
                  net_debt_ratio_lf       DOUBLE
           parent_equity_to_liab_lf       DOUBLE
  parent_equity_to_interest_liab_lf       DOUBLE
tangible_assets_to_interest_liab_lf       DOUBLE
         tangible_assets_to_liab_lf       DOUBLE
     tangible_assets_to_net_liab_lf       DOUBLE
                  ebitda_to_liab_lf       DOUBLE
                 ebitda_to_liab_mrq       DOUBLE
                 ebitda_to_liab_ttm       DOUBLE
                   cffoa_to_liab_lf       DOUBLE
                  cffoa_to_liab_mrq       DOUBLE
                  cffoa_to_liab_ttm       DOUBLE
          cffoa_to_interest_liab_lf       DOUBLE
         cffoa_to_interest_liab_mrq       DOUBLE
         cffoa_to_interest_liab_ttm       DOUBLE
              cffoa_to_curr_liab_lf       DOUBLE
             cffoa_to_curr_liab_mrq       DOUBLE
             cffoa_to_curr_liab_ttm       DOUBLE
               cffoa_to_net_liab_lf       DOUBLE
              cffoa_to_net_liab_mrq       DOUBLE
              cffoa_to_net_liab_ttm       DOUBLE
           cffoa_to_noncurr_liab_lf       DOUBLE
          cffoa_to_noncurr_liab_mrq       DOUBLE
          cffoa_to_noncurr_liab_ttm       DOUBLE
           nonciffa_to_curr_liab_lf       DOUBLE
          nonciffa_to_curr_liab_mrq       DOUBLE
          nonciffa_to_curr_liab_ttm       DOUBLE
                nonciffa_to_liab_lf       DOUBLE
               nonciffa_to_liab_mrq       DOUBLE
               nonciffa_to_liab_ttm       DOUBLE
                ebit_to_interest_lf       DOUBLE
               ebit_to_interest_mrq       DOUBLE
               ebit_to_interest_ttm       DOUBLE
                debt_to_tangible_lf       DOUBLE
         ebitda_to_interest_liab_lf       DOUBLE
        ebitda_to_interest_liab_mrq       DOUBLE
        ebitda_to_interest_liab_ttm       DOUBLE
          ebitda_to_interest_fee_lf       DOUBLE
         ebitda_to_interest_fee_mrq       DOUBLE
         ebitda_to_interest_fee_ttm       DOUBLE
                  liab_to_ebitda_lf       DOUBLE
                 liab_to_ebitda_mrq       DOUBLE
                 liab_to_ebitda_ttm       DOUBLE
          cash_to_shortterm_debt_lf       DOUBLE
         cash_to_shortterm_debt_mrq       DOUBLE
         cash_to_shortterm_debt_ttm       DOUBLE
             longterm_liab_to_wc_lf       DOUBLE
           longterm_liab_to_liab_lf       DOUBLE
