                       column_name  column_type
                              date TIMESTAMP_NS
                        instrument      VARCHAR
                       report_date TIMESTAMP_NS
                             shift      TINYINT
                   gross_profit_lf       DOUBLE
                  gross_profit_mrq       DOUBLE
                  gross_profit_ttm       DOUBLE
           operating_net_income_lf       DOUBLE
          operating_net_income_mrq       DOUBLE
          operating_net_income_ttm       DOUBLE
           value_chg_net_income_lf       DOUBLE
          value_chg_net_income_mrq       DOUBLE
          value_chg_net_income_ttm       DOUBLE
               interest_expense_lf       DOUBLE
              interest_expense_mrq       DOUBLE
              interest_expense_ttm       DOUBLE
      depreciation_amortization_lf       DOUBLE
     depreciation_amortization_mrq       DOUBLE
     depreciation_amortization_ttm       DOUBLE
                effect_tax_rate_lf       DOUBLE
               effect_tax_rate_mrq       DOUBLE
               effect_tax_rate_ttm       DOUBLE
   noninterest_curr_liabilities_lf       DOUBLE
noninterest_noncurr_liabilities_lf       DOUBLE
                           ebit_lf       DOUBLE
                          ebit_mrq       DOUBLE
                          ebit_ttm       DOUBLE
                         ebitda_lf       DOUBLE
                        ebitda_mrq       DOUBLE
                        ebitda_ttm       DOUBLE
                          nopat_lf       DOUBLE
                         nopat_mrq       DOUBLE
                         nopat_ttm       DOUBLE
          interest_bearing_debt_lf       DOUBLE
                 shortterm_debt_lf       DOUBLE
           longterm_liabilities_lf       DOUBLE
               invested_capital_lf       DOUBLE
                working_capital_lf       DOUBLE
            net_working_capital_lf       DOUBLE
                tangible_assets_lf       DOUBLE
                retained_income_lf       DOUBLE
                       net_debt_lf       DOUBLE
                         inc_wc_lf       DOUBLE
                           fcff_lf       DOUBLE
                          fcff_mrq       DOUBLE
                          fcff_ttm       DOUBLE
                           fcfe_lf       DOUBLE
                          fcfe_mrq       DOUBLE
                          fcfe_ttm       DOUBLE
                  inc_inventory_lf       DOUBLE
                longterm_invest_lf       DOUBLE
            net_profit_deducted_lf       DOUBLE
           net_profit_deducted_mrq       DOUBLE
           net_profit_deducted_ttm       DOUBLE
  net_profit_to_parent_deducted_lf       DOUBLE
 net_profit_to_parent_deducted_mrq       DOUBLE
 net_profit_to_parent_deducted_ttm       DOUBLE
