                              column_name  column_type
                                     date TIMESTAMP_NS
                               instrument      VARCHAR
                              report_date TIMESTAMP_NS
                                    shift      TINYINT
                       illiquid_assets_lf       DOUBLE
                               taxfree_lf       DOUBLE
                     government_grants_lf       DOUBLE
                         occupancy_fee_lf       DOUBLE
                 fair_value_investment_lf       DOUBLE
           non_monetary_asset_exchange_lf       DOUBLE
                     manage_investment_lf       DOUBLE
                   debt_reorganization_lf       DOUBLE
             enterprise_reorganization_lf       DOUBLE
                    fair_value_trading_lf       DOUBLE
                                 merge_lf       DOUBLE
                   bussiness_unrelated_lf       DOUBLE
                other_financial_income_lf       DOUBLE
        reversal_of_impairment_reserve_lf       DOUBLE
                external_entruste_loan_lf       DOUBLE
 invested_realestate_fair_value_change_lf       DOUBLE
            influence_after_adjustment_lf       DOUBLE
                           trustee_fee_lf       DOUBLE
             other_nonoperating_income_lf       DOUBLE
              other_nonrecurring_items_lf       DOUBLE
                     income_tax_impact_lf       DOUBLE
          nonrecurring_income_to_owner_lf       DOUBLE
       nonrecurring_income_to_minority_lf       DOUBLE
               nonrecurring_income_sum_lf       DOUBLE
                      illiquid_assets_mrq       DOUBLE
                              taxfree_mrq       DOUBLE
                    government_grants_mrq       DOUBLE
                        occupancy_fee_mrq       DOUBLE
                fair_value_investment_mrq       DOUBLE
          non_monetary_asset_exchange_mrq       DOUBLE
                    manage_investment_mrq       DOUBLE
                  debt_reorganization_mrq       DOUBLE
            enterprise_reorganization_mrq       DOUBLE
                   fair_value_trading_mrq       DOUBLE
                                merge_mrq       DOUBLE
                  bussiness_unrelated_mrq       DOUBLE
               other_financial_income_mrq       DOUBLE
       reversal_of_impairment_reserve_mrq       DOUBLE
               external_entruste_loan_mrq       DOUBLE
invested_realestate_fair_value_change_mrq       DOUBLE
           influence_after_adjustment_mrq       DOUBLE
                          trustee_fee_mrq       DOUBLE
            other_nonoperating_income_mrq       DOUBLE
             other_nonrecurring_items_mrq       DOUBLE
                    income_tax_impact_mrq       DOUBLE
         nonrecurring_income_to_owner_mrq       DOUBLE
      nonrecurring_income_to_minority_mrq       DOUBLE
              nonrecurring_income_sum_mrq       DOUBLE
                      illiquid_assets_ttm       DOUBLE
                              taxfree_ttm       DOUBLE
                    government_grants_ttm       DOUBLE
                        occupancy_fee_ttm       DOUBLE
                fair_value_investment_ttm       DOUBLE
          non_monetary_asset_exchange_ttm       DOUBLE
                    manage_investment_ttm       DOUBLE
                  debt_reorganization_ttm       DOUBLE
            enterprise_reorganization_ttm       DOUBLE
                   fair_value_trading_ttm       DOUBLE
                                merge_ttm       DOUBLE
                  bussiness_unrelated_ttm       DOUBLE
               other_financial_income_ttm       DOUBLE
       reversal_of_impairment_reserve_ttm       DOUBLE
               external_entruste_loan_ttm       DOUBLE
invested_realestate_fair_value_change_ttm       DOUBLE
           influence_after_adjustment_ttm       DOUBLE
                          trustee_fee_ttm       DOUBLE
            other_nonoperating_income_ttm       DOUBLE
             other_nonrecurring_items_ttm       DOUBLE
                    income_tax_impact_ttm       DOUBLE
         nonrecurring_income_to_owner_ttm       DOUBLE
      nonrecurring_income_to_minority_ttm       DOUBLE
              nonrecurring_income_sum_ttm       DOUBLE
