         column_name  column_type
                date TIMESTAMP_NS
          instrument      VARCHAR
    total_market_cap       DOUBLE
    float_market_cap       DOUBLE
dividend_yield_ratio       DOUBLE
              pe_ttm       DOUBLE
          pe_leading       DOUBLE
         pe_trailing       DOUBLE
                  pb       DOUBLE
              ps_ttm       DOUBLE
          ps_leading       DOUBLE
         ps_trailing       DOUBLE
         pcf_net_ttm       DOUBLE
     pcf_net_leading       DOUBLE
          pcf_op_ttm       DOUBLE
      pcf_op_leading       DOUBLE
