       column_name  column_type
              date TIMESTAMP_NS
        instrument      VARCHAR
  wap_1_buy_volume       BIGINT
 wap_1_sell_volume       BIGINT
    wap_1_twap_buy        FLOAT
   wap_1_twap_sell        FLOAT
    wap_1_vwap_buy        FLOAT
   wap_1_vwap_sell        FLOAT
  wap_2_buy_volume       BIGINT
 wap_2_sell_volume       BIGINT
    wap_2_twap_buy        FLOAT
   wap_2_twap_sell        FLOAT
    wap_2_vwap_buy        FLOAT
   wap_2_vwap_sell        FLOAT
  wap_3_buy_volume       BIGINT
 wap_3_sell_volume       BIGINT
    wap_3_twap_buy        FLOAT
   wap_3_twap_sell        FLOAT
    wap_3_vwap_buy        FLOAT
   wap_3_vwap_sell        FLOAT
  wap_4_buy_volume       BIGINT
 wap_4_sell_volume       BIGINT
    wap_4_twap_buy        FLOAT
   wap_4_twap_sell        FLOAT
    wap_4_vwap_buy        FLOAT
   wap_4_vwap_sell        FLOAT
  wap_5_buy_volume       BIGINT
 wap_5_sell_volume       BIGINT
    wap_5_twap_buy        FLOAT
   wap_5_twap_sell        FLOAT
    wap_5_vwap_buy        FLOAT
   wap_5_vwap_sell        FLOAT
  wap_6_buy_volume       BIGINT
 wap_6_sell_volume       BIGINT
    wap_6_twap_buy        FLOAT
   wap_6_twap_sell        FLOAT
    wap_6_vwap_buy        FLOAT
   wap_6_vwap_sell        FLOAT
  wap_7_buy_volume       BIGINT
 wap_7_sell_volume       BIGINT
    wap_7_twap_buy        FLOAT
   wap_7_twap_sell        FLOAT
    wap_7_vwap_buy        FLOAT
   wap_7_vwap_sell        FLOAT
  wap_8_buy_volume       BIGINT
 wap_8_sell_volume       BIGINT
    wap_8_twap_buy        FLOAT
   wap_8_twap_sell        FLOAT
    wap_8_vwap_buy        FLOAT
   wap_8_vwap_sell        FLOAT
  wap_9_buy_volume       BIGINT
 wap_9_sell_volume       BIGINT
    wap_9_twap_buy        FLOAT
   wap_9_twap_sell        FLOAT
    wap_9_vwap_buy        FLOAT
   wap_9_vwap_sell        FLOAT
 wap_10_buy_volume       BIGINT
wap_10_sell_volume       BIGINT
   wap_10_twap_buy        FLOAT
  wap_10_twap_sell        FLOAT
   wap_10_vwap_buy        FLOAT
  wap_10_vwap_sell        FLOAT
 wap_11_buy_volume       BIGINT
wap_11_sell_volume       BIGINT
   wap_11_twap_buy        FLOAT
  wap_11_twap_sell        FLOAT
   wap_11_vwap_buy        FLOAT
  wap_11_vwap_sell        FLOAT
