      column_name  column_type
       instrument      VARCHAR
     ret_intraday       DOUBLE
             date TIMESTAMP_NS
         real_var       DOUBLE
    real_kurtosis       DOUBLE
    real_skewness       DOUBLE
       real_upvar       DOUBLE
     real_downvar       DOUBLE
  ratio_realupvar       DOUBLE
ratio_realdownvar       DOUBLE
       trendratio       DOUBLE
   ratio_volumeH1       DOUBLE
   ratio_volumeH2       DOUBLE
   ratio_volumeH3       DOUBLE
   ratio_volumeH4       DOUBLE
   ratio_volumeH5       DOUBLE
   ratio_volumeH6       DOUBLE
   ratio_volumeH7       DOUBLE
   ratio_volumeH8       DOUBLE
          corr_VP       DOUBLE
          corr_VR       DOUBLE
       corr_VRlag       DOUBLE
      corr_VRlead       DOUBLE
           ret_H1       DOUBLE
     ret_close2H1       DOUBLE
        corr_VPH1       DOUBLE
        corr_VRH1       DOUBLE
     corr_VRlagH1       DOUBLE
    corr_VRleadH1       DOUBLE
       real_varH1       DOUBLE
  real_kurtosisH1       DOUBLE
  real_skewnessH1       DOUBLE
        corr_VPH8       DOUBLE
        corr_VRH8       DOUBLE
     corr_VRlagH8       DOUBLE
    corr_VRleadH8       DOUBLE
       real_varH8       DOUBLE
  real_kurtosisH8       DOUBLE
  real_skewnessH8       DOUBLE
 amountbuy_xlarge       DOUBLE
amountsell_xlarge       DOUBLE
  amountbuy_large       DOUBLE
 amountsell_large       DOUBLE
    amountbuy_med       DOUBLE
   amountsell_med       DOUBLE
  amountbuy_small       DOUBLE
 amountsell_small       DOUBLE
amountdiff_xlarge       DOUBLE
 amountdiff_large       DOUBLE
   amountdiff_med       DOUBLE
 amountdiff_small       DOUBLE
