column_name  column_type
       date TIMESTAMP_NS
 instrument      VARCHAR
  alpha_001       DOUBLE
  alpha_002       DOUBLE
  alpha_003       DOUBLE
  alpha_004       DOUBLE
  alpha_005       DOUBLE
  alpha_006       DOUBLE
  alpha_007       DOUBLE
  alpha_008       DOUBLE
  alpha_009       DOUBLE
  alpha_010       DOUBLE
  alpha_011       DOUBLE
  alpha_012       DOUBLE
  alpha_013       DOUBLE
  alpha_014       DOUBLE
  alpha_015       DOUBLE
  alpha_016       DOUBLE
  alpha_017       DOUBLE
  alpha_018       DOUBLE
  alpha_019       DOUBLE
  alpha_020       DOUBLE
  alpha_021       DOUBLE
  alpha_022       DOUBLE
  alpha_023       DOUBLE
  alpha_024       DOUBLE
  alpha_025       DOUBLE
  alpha_026       DOUBLE
  alpha_027       DOUBLE
  alpha_028       DOUBLE
  alpha_029       DOUBLE
  alpha_030       DOUBLE
  alpha_031       DOUBLE
  alpha_032       DOUBLE
  alpha_033       DOUBLE
  alpha_034       DOUBLE
  alpha_035       DOUBLE
  alpha_036       DOUBLE
  alpha_037       DOUBLE
  alpha_038       DOUBLE
  alpha_039       DOUBLE
  alpha_040       DOUBLE
  alpha_041       DOUBLE
  alpha_042       DOUBLE
  alpha_043       DOUBLE
  alpha_044       DOUBLE
  alpha_045       DOUBLE
  alpha_046       DOUBLE
  alpha_047       DOUBLE
  alpha_048       DOUBLE
  alpha_049       DOUBLE
  alpha_050       DOUBLE
  alpha_051       DOUBLE
  alpha_052       DOUBLE
  alpha_053       DOUBLE
  alpha_054       DOUBLE
  alpha_055       DOUBLE
  alpha_056       DOUBLE
  alpha_057       DOUBLE
  alpha_058       DOUBLE
  alpha_059       DOUBLE
  alpha_060       DOUBLE
  alpha_061       DOUBLE
  alpha_062       DOUBLE
  alpha_063       DOUBLE
  alpha_064       DOUBLE
  alpha_065       DOUBLE
  alpha_066       DOUBLE
  alpha_067       DOUBLE
  alpha_068       DOUBLE
  alpha_069       DOUBLE
  alpha_070       DOUBLE
  alpha_071       DOUBLE
  alpha_072       DOUBLE
  alpha_073       DOUBLE
  alpha_074       DOUBLE
  alpha_075       DOUBLE
  alpha_076       DOUBLE
  alpha_077       DOUBLE
  alpha_078       DOUBLE
  alpha_079       DOUBLE
  alpha_080       DOUBLE
  alpha_081       DOUBLE
  alpha_082       DOUBLE
  alpha_083       DOUBLE
  alpha_084       DOUBLE
  alpha_085       DOUBLE
  alpha_086       DOUBLE
  alpha_087       DOUBLE
  alpha_088       DOUBLE
  alpha_089       DOUBLE
  alpha_090       DOUBLE
  alpha_091       DOUBLE
  alpha_092       DOUBLE
  alpha_093       DOUBLE
  alpha_094       DOUBLE
  alpha_095       DOUBLE
  alpha_096       DOUBLE
  alpha_097       DOUBLE
  alpha_098       DOUBLE
  alpha_099       DOUBLE
  alpha_100       DOUBLE
  alpha_101       DOUBLE
