               column_name  column_type
                instrument      VARCHAR
                      date TIMESTAMP_NS
               list_sector      TINYINT
                 list_date TIMESTAMP_NS
             adjust_factor       DOUBLE
                    amount       DOUBLE
                    volume       BIGINT
                     close       DOUBLE
                      high       DOUBLE
                       low       DOUBLE
                      open       DOUBLE
        price_limit_status      TINYINT
                 st_status      TINYINT
               upper_limit       DOUBLE
               lower_limit       DOUBLE
          total_market_cap       DOUBLE
          float_market_cap       DOUBLE
                 list_days       BIGINT
              trading_days       BIGINT
              total_shares       DOUBLE
               float_total       DOUBLE
               float_ratio       DOUBLE
         financing_balance       DOUBLE
securities_lending_balance       DOUBLE
    financing_net_purchase       DOUBLE
        financing_purchase       DOUBLE
       financing_repayment       DOUBLE
             sw2021_level1      VARCHAR
             sw2021_level2      VARCHAR
             sw2021_level3      VARCHAR
             sw2014_level1      VARCHAR
             sw2014_level2      VARCHAR
             sw2014_level3      VARCHAR
                 cs_level1      VARCHAR
                 cs_level2      VARCHAR
                 cs_level3      VARCHAR
                 suspended      TINYINT
     margin_trading_status      TINYINT
                   is_szzs      TINYINT
                   is_sh50      TINYINT
                  is_hs300      TINYINT
                   is_kc50      TINYINT
                 is_zz1000      TINYINT
                  is_zz100      TINYINT
                  is_zz500      TINYINT
                   is_szcz      TINYINT
                   is_cybz      TINYINT
                  is_sz100      TINYINT
                   is_bz50      TINYINT
                 is_zza500      TINYINT
                 szzs_high       DOUBLE
                 szzs_open       DOUBLE
                  szzs_low       DOUBLE
                szzs_close       DOUBLE
               szzs_volume       DOUBLE
               szzs_amount       DOUBLE
                 sh50_high       DOUBLE
                 sh50_open       DOUBLE
                  sh50_low       DOUBLE
                sh50_close       DOUBLE
               sh50_volume       DOUBLE
               sh50_amount       DOUBLE
                hs300_high       DOUBLE
                hs300_open       DOUBLE
                 hs300_low       DOUBLE
               hs300_close       DOUBLE
              hs300_volume       DOUBLE
              hs300_amount       DOUBLE
                 kc50_high       DOUBLE
                 kc50_open       DOUBLE
                  kc50_low       DOUBLE
                kc50_close       DOUBLE
               kc50_volume       DOUBLE
               kc50_amount       DOUBLE
               zz1000_high       DOUBLE
               zz1000_open       DOUBLE
                zz1000_low       DOUBLE
              zz1000_close       DOUBLE
             zz1000_volume       DOUBLE
             zz1000_amount       DOUBLE
                zz100_high       DOUBLE
                zz100_open       DOUBLE
                 zz100_low       DOUBLE
               zz100_close       DOUBLE
              zz100_volume       DOUBLE
              zz100_amount       DOUBLE
                zz500_high       DOUBLE
                zz500_open       DOUBLE
                 zz500_low       DOUBLE
               zz500_close       DOUBLE
              zz500_volume       DOUBLE
              zz500_amount       DOUBLE
                 szcz_high       DOUBLE
                 szcz_open       DOUBLE
                  szcz_low       DOUBLE
                szcz_close       DOUBLE
               szcz_volume       DOUBLE
               szcz_amount       DOUBLE
                 cybz_high       DOUBLE
                 cybz_open       DOUBLE
                  cybz_low       DOUBLE
                cybz_close       DOUBLE
               cybz_volume       DOUBLE
               cybz_amount       DOUBLE
                sz100_high       DOUBLE
                sz100_open       DOUBLE
                 sz100_low       DOUBLE
               sz100_close       DOUBLE
              sz100_volume       DOUBLE
              sz100_amount       DOUBLE
                 bz50_high       DOUBLE
                 bz50_open       DOUBLE
                  bz50_low       DOUBLE
                bz50_close       DOUBLE
               bz50_volume       DOUBLE
               bz50_amount       DOUBLE
               zza500_high       DOUBLE
               zza500_open       DOUBLE
                zza500_low       DOUBLE
              zza500_close       DOUBLE
             zza500_volume       DOUBLE
             zza500_amount       DOUBLE
          price_ampolitude       DOUBLE
