column_name  column_type
       date TIMESTAMP_NS
 instrument      VARCHAR
   DIVIDEND       DOUBLE
FUNDAMENTAL       DOUBLE
    QUALITY       DOUBLE
     GROWTH       DOUBLE
  VALUATION       DOUBLE
 VOLATILITY       DOUBLE
     ADJMOM       DOUBLE
BETA_399001       DOUBLE
BETA_399006       DOUBLE
BETA_000903       DOUBLE
BETA_000300       DOUBLE
BETA_399330       DOUBLE
BETA_000688       DOUBLE
BETA_000985       DOUBLE
BETA_899050       DOUBLE
BETA_000905       DOUBLE
BETA_000852       DOUBLE
BETA_000001       DOUBLE
BETA_000016       DOUBLE
