         column_name  column_type
                date TIMESTAMP_NS
          instrument      VARCHAR
               sma_5       DOUBLE
              sma_10       DOUBLE
              sma_20       DOUBLE
              sma_60       DOUBLE
             sma_120       DOUBLE
             sma_250       DOUBLE
               ema_5       DOUBLE
              ema_10       DOUBLE
              ema_20       DOUBLE
              ema_60       DOUBLE
             ema_120       DOUBLE
             ema_250       DOUBLE
               wma_5       DOUBLE
              wma_10       DOUBLE
              wma_20       DOUBLE
              wma_60       DOUBLE
             wma_120       DOUBLE
             wma_250       DOUBLE
    macd_diff_5_20_5       DOUBLE
    macd_diff_8_34_7       DOUBLE
   macd_diff_12_26_9       DOUBLE
  macd_diff_10_50_10       DOUBLE
     macd_dea_5_20_5       DOUBLE
     macd_dea_8_34_7       DOUBLE
    macd_dea_12_26_9       DOUBLE
   macd_dea_10_50_10       DOUBLE
    macd_hist_5_20_5       DOUBLE
    macd_hist_8_34_7       DOUBLE
   macd_hist_12_26_9       DOUBLE
  macd_hist_10_50_10       DOUBLE
              bias_5       DOUBLE
             bias_10       DOUBLE
             bias_20       DOUBLE
             bias_60       DOUBLE
            bias_120       DOUBLE
            bias_250       DOUBLE
       kdj_rsv_9_3_3       DOUBLE
      kdj_rsv_14_3_3       DOUBLE
       kdj_rsv_5_3_3       DOUBLE
      kdj_rsv_10_3_6       DOUBLE
      kdj_rsv_20_5_5       DOUBLE
         kdj_k_9_3_3       DOUBLE
        kdj_k_14_3_3       DOUBLE
         kdj_k_5_3_3       DOUBLE
        kdj_k_10_3_6       DOUBLE
        kdj_k_20_5_5       DOUBLE
         kdj_d_9_3_3       DOUBLE
        kdj_d_14_3_3       DOUBLE
         kdj_d_5_3_3       DOUBLE
        kdj_d_10_3_6       DOUBLE
        kdj_d_20_5_5       DOUBLE
         kdj_j_9_3_3       DOUBLE
        kdj_j_14_3_3       DOUBLE
         kdj_j_5_3_3       DOUBLE
        kdj_j_10_3_6       DOUBLE
        kdj_j_20_5_5       DOUBLE
               rsi_6       DOUBLE
              rsi_12       DOUBLE
              rsi_24       DOUBLE
              rsi_48       DOUBLE
              rsi_60       DOUBLE
             rsi_120       DOUBLE
 bbands_middle_5_1d5       DOUBLE
bbands_middle_10_1d5       DOUBLE
bbands_middle_20_1d5       DOUBLE
   bbands_middle_5_2       DOUBLE
  bbands_middle_10_2       DOUBLE
  bbands_middle_20_2       DOUBLE
 bbands_middle_5_2d5       DOUBLE
bbands_middle_10_2d5       DOUBLE
bbands_middle_20_2d5       DOUBLE
  bbands_upper_5_1d5       DOUBLE
 bbands_upper_10_1d5       DOUBLE
 bbands_upper_20_1d5       DOUBLE
    bbands_upper_5_2       DOUBLE
   bbands_upper_10_2       DOUBLE
   bbands_upper_20_2       DOUBLE
  bbands_upper_5_2d5       DOUBLE
 bbands_upper_10_2d5       DOUBLE
 bbands_upper_20_2d5       DOUBLE
  bbands_lower_5_1d5       DOUBLE
 bbands_lower_10_1d5       DOUBLE
 bbands_lower_20_1d5       DOUBLE
    bbands_lower_5_2       DOUBLE
   bbands_lower_10_2       DOUBLE
   bbands_lower_20_2       DOUBLE
  bbands_lower_5_2d5       DOUBLE
 bbands_lower_10_2d5       DOUBLE
 bbands_lower_20_2d5       DOUBLE
            trix_5_3       DOUBLE
            trix_7_4       DOUBLE
           trix_12_9       DOUBLE
          trix_20_12       DOUBLE
          trix_60_20       DOUBLE
               cci_5       DOUBLE
              cci_14       DOUBLE
              cci_20       DOUBLE
              cci_30       DOUBLE
              cci_60       DOUBLE
             cci_120       DOUBLE
                 obv       DOUBLE
             maobv_6       DOUBLE
            maobv_14       DOUBLE
            maobv_20       DOUBLE
            maobv_30       DOUBLE
            maobv_60       DOUBLE
               atr_6       DOUBLE
              atr_14       DOUBLE
              atr_20       DOUBLE
              atr_30       DOUBLE
              atr_60       DOUBLE
