                                      column_name  column_type
                                             date TIMESTAMP_NS
                                       instrument      VARCHAR
                                      report_date TIMESTAMP_NS
                                 fs_quarter_index      TINYINT
                                      change_type      TINYINT
                        conv_corp_bonds_within_1y       DOUBLE
          netinc_in_insurance_deposits_and_invest       DOUBLE
         credit_impairment_loss_in_cashflow_sheet       DOUBLE
                         debt_transfer_to_capital       DOUBLE
                     cash_paid_for_debt_repayment       DOUBLE
                         loss_from_fair_value_chg       DOUBLE
                         others_in_cashflow_sheet       DOUBLE
        cash_paid_for_dividends_profits_interests       DOUBLE
                    cash_received_from_bond_issue       DOUBLE
                    cash_received_from_borrowings       DOUBLE
              cash_paid_by_acquiring_subsidiaries       DOUBLE
                             return_on_investment       DOUBLE
           netinc_in_borrowings_from_central_bank       DOUBLE
      netinc_in_loans_from_other_fin_institutions       DOUBLE
                   capital_contributions_received       DOUBLE
                netinc_in_repurchase_transactions       DOUBLE
                       depreciation_of_fa_oga_pba       DOUBLE
               loss_from_scraping_of_fixed_assets       DOUBLE
                    netinc_in_disposal_fin_assets       DOUBLE
      net_cash_received_from_disposal_filt_assets       DOUBLE
                  loss_from_disposal_of_fa_ia_lta       DOUBLE
     net_cash_received_from_disposal_subsidiaries       DOUBLE
      cash_received_by_subsidiaries_from_minority       DOUBLE
            cash_paid_by_subsidiaries_to_minority       DOUBLE
           netinc_deposits_central_bank_interbank       DOUBLE
                          decrease_in_inventories       DOUBLE
                               netinc_in_deposits       DOUBLE
                     netinc_in_loans_and_advances       DOUBLE
                                      invest_loss       DOUBLE
                        cash_paid_for_investments       DOUBLE
                                        net_cffia       DOUBLE
                         totbal_diff_of_net_cffia       DOUBLE
                           spec_diff_of_net_cffia       DOUBLE
                                   subtotal_cifia       DOUBLE
                             totbal_diff_of_cifia       DOUBLE
                               spec_diff_of_cifia       DOUBLE
                                subtotal_of_cofia       DOUBLE
                             totbal_diff_of_cofia       DOUBLE
                               spec_diff_of_cofia       DOUBLE
  netinc_in_loans_from_banks_and_fin_institutions       DOUBLE
                   cash_paid_for_policy_dividends       DOUBLE
                    cash_paid_for_other_investing       DOUBLE
                    cash_paid_for_other_financing       DOUBLE
                                      other_cofoa       DOUBLE
     cash_paid_for_interests_fees_and_commissions       DOUBLE
                             cash_paid_for_claims       DOUBLE
                   cash_paid_for_taxes_and_levies       DOUBLE
                          cash_paid_for_employees       DOUBLE
               cash_received_from_other_investing       DOUBLE
               cash_received_from_other_financing       DOUBLE
               cash_received_from_other_operating       DOUBLE
               net_cash_received_from_reinsurance       DOUBLE
                      cash_received_from_premiums       DOUBLE
                         taxes_and_levies_rebates       DOUBLE
cash_received_from_interests_fess_and_commissions       DOUBLE
          cash_received_from_disposal_investments       DOUBLE
                 amorization_of_intangible_assets       DOUBLE
                                    cce_beginning       DOUBLE
                                       cce_ending       DOUBLE
                    effect_of_exchange_chg_on_cce       DOUBLE
                                    netinc_in_cce       DOUBLE
                     net_profit_in_cashflow_sheet       DOUBLE
               finance_expenses_in_cashflow_sheet       DOUBLE
                           cash_balance_beginning       DOUBLE
                              cash_balance_ending       DOUBLE
                            cce_balance_beginning       DOUBLE
                               cce_balance_ending       DOUBLE
                     totbal_diff_of_netinc_in_cce       DOUBLE
                       spec_diff_of_netinc_in_cce       DOUBLE
                                        net_cfffa       DOUBLE
                         totbal_diff_of_net_cfffa       DOUBLE
                           spec_diff_of_net_cfffa       DOUBLE
                                   subtotal_ciffa       DOUBLE
                             totbal_diff_of_ciffa       DOUBLE
                               spec_diff_of_ciffa       DOUBLE
                                subtotal_of_coffa       DOUBLE
                             totbal_diff_of_coffa       DOUBLE
                               spec_diff_of_coffa       DOUBLE
                   increase_in_operating_payables       DOUBLE
                decrease_in_operating_receivables       DOUBLE
                                        net_cffoa       DOUBLE
                         totbal_diff_of_net_cffoa       DOUBLE
                           spec_diff_of_net_cffoa       DOUBLE
                                   subtotal_cifoa       DOUBLE
                             totbal_diff_of_cifoa       DOUBLE
                               spec_diff_of_cifoa       DOUBLE
                                   subtotal_cofoa       DOUBLE
                             totbal_diff_of_cofoa       DOUBLE
                               spec_diff_of_cofoa       DOUBLE
                           fin_lease_fixed_assets       DOUBLE
                           netinc_in_pledge_loans       DOUBLE
                 cash_paid_for_goods_and_services       DOUBLE
                        cash_paid_for_filt_assets       DOUBLE
                         asset_impairment_reserve       DOUBLE
             increase_in_deferred_tax_liabilities       DOUBLE
                  decrease_in_deferred_tax_assets       DOUBLE
            cash_received_from_sales_and_services       DOUBLE
       amortization_of_longterm_deferred_expenses       DOUBLE
                           netinc_in_cce_indirect       DOUBLE
            totbal_diff_of_netinc_in_cce_indirect       DOUBLE
              spec_diff_of_netinc_in_cce_indirect       DOUBLE
                               net_cffoa_indirect       DOUBLE
                totbal_diff_of_net_cffoa_indirect       DOUBLE
                  spec_diff_of_net_cffoa_indirect       DOUBLE
