                           column_name  column_type
                                  date TIMESTAMP_NS
                            instrument      VARCHAR
                           report_date TIMESTAMP_NS
                                 shift      TINYINT
                            eps_yoy_lf       DOUBLE
        total_operating_revenue_yoy_lf       DOUBLE
       total_operating_revenue_yoy_mrq       DOUBLE
       total_operating_revenue_yoy_ttm       DOUBLE
              operating_revenue_yoy_lf       DOUBLE
             operating_revenue_yoy_mrq       DOUBLE
             operating_revenue_yoy_ttm       DOUBLE
                operating_costs_yoy_lf       DOUBLE
               operating_costs_yoy_mrq       DOUBLE
               operating_costs_yoy_ttm       DOUBLE
                   gross_profit_yoy_lf       DOUBLE
                  gross_profit_yoy_mrq       DOUBLE
                  gross_profit_yoy_ttm       DOUBLE
                    rad_expense_yoy_lf       DOUBLE
                   rad_expense_yoy_mrq       DOUBLE
                   rad_expense_yoy_ttm       DOUBLE
                 selling_epense_yoy_lf       DOUBLE
                selling_epense_yoy_mrq       DOUBLE
                selling_epense_yoy_ttm       DOUBLE
         administrative_expense_yoy_lf       DOUBLE
        administrative_expense_yoy_mrq       DOUBLE
        administrative_expense_yoy_ttm       DOUBLE
                finance_expense_yoy_lf       DOUBLE
               finance_expense_yoy_mrq       DOUBLE
               finance_expense_yoy_ttm       DOUBLE
               operating_profit_yoy_lf       DOUBLE
              operating_profit_yoy_mrq       DOUBLE
              operating_profit_yoy_ttm       DOUBLE
                   total_profit_yoy_lf       DOUBLE
                  total_profit_yoy_mrq       DOUBLE
                  total_profit_yoy_ttm       DOUBLE
                     net_profit_yoy_lf       DOUBLE
                    net_profit_yoy_mrq       DOUBLE
                    net_profit_yoy_ttm       DOUBLE
           net_profit_to_parent_yoy_lf       DOUBLE
          net_profit_to_parent_yoy_mrq       DOUBLE
          net_profit_to_parent_yoy_ttm       DOUBLE
                      net_cffoa_yoy_lf       DOUBLE
                     net_cffoa_yoy_mrq       DOUBLE
                     net_cffoa_yoy_ttm       DOUBLE
                  cash_received_yoy_lf       DOUBLE
                 cash_received_yoy_mrq       DOUBLE
                 cash_received_yoy_ttm       DOUBLE
            cash_paid_for_goods_yoy_lf       DOUBLE
           cash_paid_for_goods_yoy_mrq       DOUBLE
           cash_paid_for_goods_yoy_ttm       DOUBLE
        cash_paid_for_employees_yoy_lf       DOUBLE
       cash_paid_for_employees_yoy_mrq       DOUBLE
       cash_paid_for_employees_yoy_ttm       DOUBLE
                     net_assets_yoy_lf       DOUBLE
                   total_assets_yoy_lf       DOUBLE
                     total_liab_yoy_lf       DOUBLE
            accounts_receivable_yoy_lf       DOUBLE
                            cce_yoy_lf       DOUBLE
                           cce_yoy_mrq       DOUBLE
                           cce_yoy_ttm       DOUBLE
                           cash_yoy_lf       DOUBLE
                   fixed_assets_yoy_lf       DOUBLE
        total_operating_revenue_qoq_lf       DOUBLE
       total_operating_revenue_qoq_mrq       DOUBLE
       total_operating_revenue_qoq_ttm       DOUBLE
              operating_revenue_qoq_lf       DOUBLE
             operating_revenue_qoq_mrq       DOUBLE
             operating_revenue_qoq_ttm       DOUBLE
                operating_costs_qoq_lf       DOUBLE
               operating_costs_qoq_mrq       DOUBLE
               operating_costs_qoq_ttm       DOUBLE
                   gross_profit_qoq_lf       DOUBLE
                  gross_profit_qoq_mrq       DOUBLE
                  gross_profit_qoq_ttm       DOUBLE
                    rad_expense_qoq_lf       DOUBLE
                   rad_expense_qoq_mrq       DOUBLE
                   rad_expense_qoq_ttm       DOUBLE
                 selling_epense_qoq_lf       DOUBLE
                selling_epense_qoq_mrq       DOUBLE
                selling_epense_qoq_ttm       DOUBLE
         administrative_expense_qoq_lf       DOUBLE
        administrative_expense_qoq_mrq       DOUBLE
        administrative_expense_qoq_ttm       DOUBLE
                finance_expense_qoq_lf       DOUBLE
               finance_expense_qoq_mrq       DOUBLE
               finance_expense_qoq_ttm       DOUBLE
               operating_profit_qoq_lf       DOUBLE
              operating_profit_qoq_mrq       DOUBLE
              operating_profit_qoq_ttm       DOUBLE
                   total_profit_qoq_lf       DOUBLE
                  total_profit_qoq_mrq       DOUBLE
                  total_profit_qoq_ttm       DOUBLE
                     net_profit_qoq_lf       DOUBLE
                    net_profit_qoq_mrq       DOUBLE
                    net_profit_qoq_ttm       DOUBLE
           net_profit_to_parent_qoq_lf       DOUBLE
          net_profit_to_parent_qoq_mrq       DOUBLE
          net_profit_to_parent_qoq_ttm       DOUBLE
                      net_cffoa_qoq_lf       DOUBLE
                     net_cffoa_qoq_mrq       DOUBLE
                     net_cffoa_qoq_ttm       DOUBLE
                  cash_received_qoq_lf       DOUBLE
                 cash_received_qoq_mrq       DOUBLE
                 cash_received_qoq_ttm       DOUBLE
            cash_paid_for_goods_qoq_lf       DOUBLE
           cash_paid_for_goods_qoq_mrq       DOUBLE
           cash_paid_for_goods_qoq_ttm       DOUBLE
        cash_paid_for_employees_qoq_lf       DOUBLE
       cash_paid_for_employees_qoq_mrq       DOUBLE
       cash_paid_for_employees_qoq_ttm       DOUBLE
                     net_assets_qoq_lf       DOUBLE
                   total_assets_qoq_lf       DOUBLE
                     total_liab_qoq_lf       DOUBLE
            accounts_receivable_qoq_lf       DOUBLE
                            cce_qoq_lf       DOUBLE
                           cce_qoq_mrq       DOUBLE
                           cce_qoq_ttm       DOUBLE
                           cash_qoq_lf       DOUBLE
                   fixed_assets_qoq_lf       DOUBLE
                        roe_avg_yoy_lf       DOUBLE
                       roe_avg_yoy_mrq       DOUBLE
                       roe_avg_yoy_ttm       DOUBLE
     total_operating_revenue_cagr_2_lf       DOUBLE
    total_operating_revenue_cagr_2_mrq       DOUBLE
    total_operating_revenue_cagr_2_ttm       DOUBLE
                  net_profit_cagr_2_lf       DOUBLE
                 net_profit_cagr_2_mrq       DOUBLE
                 net_profit_cagr_2_ttm       DOUBLE
           net_profit_deduct_cagr_2_lf       DOUBLE
          net_profit_deduct_cagr_2_mrq       DOUBLE
          net_profit_deduct_cagr_2_ttm       DOUBLE
        net_profit_to_parent_cagr_2_lf       DOUBLE
       net_profit_to_parent_cagr_2_mrq       DOUBLE
       net_profit_to_parent_cagr_2_ttm       DOUBLE
 net_profit_to_parent_deduct_cagr_2_lf       DOUBLE
net_profit_to_parent_deduct_cagr_2_mrq       DOUBLE
net_profit_to_parent_deduct_cagr_2_ttm       DOUBLE
     total_operating_revenue_cagr_3_lf       DOUBLE
    total_operating_revenue_cagr_3_mrq       DOUBLE
    total_operating_revenue_cagr_3_ttm       DOUBLE
                  net_profit_cagr_3_lf       DOUBLE
                 net_profit_cagr_3_mrq       DOUBLE
                 net_profit_cagr_3_ttm       DOUBLE
           net_profit_deduct_cagr_3_lf       DOUBLE
          net_profit_deduct_cagr_3_mrq       DOUBLE
          net_profit_deduct_cagr_3_ttm       DOUBLE
        net_profit_to_parent_cagr_3_lf       DOUBLE
       net_profit_to_parent_cagr_3_mrq       DOUBLE
       net_profit_to_parent_cagr_3_ttm       DOUBLE
 net_profit_to_parent_deduct_cagr_3_lf       DOUBLE
net_profit_to_parent_deduct_cagr_3_mrq       DOUBLE
net_profit_to_parent_deduct_cagr_3_ttm       DOUBLE
     total_operating_revenue_cagr_4_lf       DOUBLE
    total_operating_revenue_cagr_4_mrq       DOUBLE
    total_operating_revenue_cagr_4_ttm       DOUBLE
                  net_profit_cagr_4_lf       DOUBLE
                 net_profit_cagr_4_mrq       DOUBLE
