                                         column_name  column_type
                                                date TIMESTAMP_NS
                                          instrument      VARCHAR
                                         report_date TIMESTAMP_NS
                                    fs_quarter_index      TINYINT
                                         change_type      TINYINT
                     continuing_operation_net_profit       DOUBLE
                   discontinued_operation_net_profit       DOUBLE
                         othcom_income_cannt_reclass       DOUBLE
                               othcom_income_reclass       DOUBLE
income_derecognition_of_fin_assets_at_amortized_cost       DOUBLE
                      own_credit_risk_fair_value_chg       DOUBLE
                         expense_on_policy_dividends       DOUBLE
                              credit_impairment_loss       DOUBLE
                                 fair_value_chg_gain       DOUBLE
                                 other_cannt_reclass       DOUBLE
                                       other_reclass       DOUBLE
         credit_impairment_of_other_debt_investments       DOUBLE
               other_debt_investments_fair_value_chg       DOUBLE
                                        other_income       DOUBLE
             other_equity_instruments_fair_value_chg       DOUBLE
                                income_othcom_income       DOUBLE
                                          net_profit       DOUBLE
                           totbal_diff_of_net_profit       DOUBLE
                             spec_diff_of_net_profit       DOUBLE
                            net_income_of_open_hedge       DOUBLE
                         reinsurance_premium_expense       DOUBLE
                                      interest_costs       DOUBLE
                                     interest_income       DOUBLE
                                        total_profit       DOUBLE
                         totbal_diff_of_total_profit       DOUBLE
                           spec_diff_of_total_profit       DOUBLE
        available_for_sale_fin_assets_fair_value_chg       DOUBLE
                                           eps_basic       DOUBLE
         income_translation_diff_of_foreign_currency       DOUBLE
                  invest_income_of_jv_and_associates       DOUBLE
                              net_profit_to_minority       DOUBLE
                            insurance_premium_income       DOUBLE
                           othcom_income_to_minority       DOUBLE
                   net_profit_to_parent_shareholders       DOUBLE
   total_comprehensive_income_to_parent_shareholders       DOUBLE
                othcom_income_to_parent_shareholders       DOUBLE
                                  income_tax_expense       DOUBLE
                            fee_and_commission_costs       DOUBLE
                           fee_and_commission_income       DOUBLE
                                       invest_income       DOUBLE
                     gains_or_losses_from_htm_to_afs       DOUBLE
                     net_amount_of_insurance_reserve       DOUBLE
     othcom_income_cannt_reclass_under_equity_method       DOUBLE
           othcom_income_reclass_under_equity_method       DOUBLE
                                       exchange_gain       DOUBLE
                              cashflow_hedge_reserve       DOUBLE
      effective_of_gains_or_losses_on_cashflow_hedge       DOUBLE
                    research_and_development_expense       DOUBLE
                                         eps_diluted       DOUBLE
                                    taxes_and_levies       DOUBLE
                              administrative_expense       DOUBLE
                          total_comprehensive_income       DOUBLE
                                    operating_profit       DOUBLE
                     totbal_diff_of_operating_profit       DOUBLE
                       spec_diff_of_operating_profit       DOUBLE
                                  nonoperating_costs       DOUBLE
                                 nonoperating_income       DOUBLE
                               total_operating_costs       DOUBLE
                      totbal_diff_of_operating_costs       DOUBLE
                        spec_diff_of_operating_costs       DOUBLE
                             total_operating_revenue       DOUBLE
                    totbal_diff_of_operating_revenue       DOUBLE
                      spec_diff_of_operating_revenue       DOUBLE
                                     operating_costs       DOUBLE
                                   operating_revenue       DOUBLE
                                     finance_expense       DOUBLE
                                 fin_interest_income       DOUBLE
                                fin_interest_expense       DOUBLE
                               asset_impairment_loss       DOUBLE
                               asset_disposal_income       DOUBLE
                           net_insurance_claims_paid       DOUBLE
                                          surrenders       DOUBLE
                               chg_by_remeasurements       DOUBLE
            othcom_income_from_reclass_of_fin_assets       DOUBLE
                                      selling_epense       DOUBLE
                         noncurr_assets_dispose_gain       DOUBLE
                         noncurr_assets_dispose_loss       DOUBLE
