                                             column_name  column_type
                                                    date TIMESTAMP_NS
                                              instrument      VARCHAR
                                             report_date TIMESTAMP_NS
                                                   shift      TINYINT
                             total_operating_revenue_mrq       DOUBLE
                                   operating_revenue_mrq       DOUBLE
                                     interest_income_mrq       DOUBLE
                            insurance_premium_income_mrq       DOUBLE
                           fee_and_commission_income_mrq       DOUBLE
                      spec_diff_of_operating_revenue_mrq       DOUBLE
                    totbal_diff_of_operating_revenue_mrq       DOUBLE
                               total_operating_costs_mrq       DOUBLE
                                     operating_costs_mrq       DOUBLE
                                      interest_costs_mrq       DOUBLE
                            fee_and_commission_costs_mrq       DOUBLE
                                          surrenders_mrq       DOUBLE
                           net_insurance_claims_paid_mrq       DOUBLE
                     net_amount_of_insurance_reserve_mrq       DOUBLE
                         expense_on_policy_dividends_mrq       DOUBLE
                         reinsurance_premium_expense_mrq       DOUBLE
                                    taxes_and_levies_mrq       DOUBLE
                                      selling_epense_mrq       DOUBLE
                              administrative_expense_mrq       DOUBLE
                    research_and_development_expense_mrq       DOUBLE
                                     finance_expense_mrq       DOUBLE
                                fin_interest_expense_mrq       DOUBLE
                                 fin_interest_income_mrq       DOUBLE
                               asset_impairment_loss_mrq       DOUBLE
                              credit_impairment_loss_mrq       DOUBLE
                        spec_diff_of_operating_costs_mrq       DOUBLE
                      totbal_diff_of_operating_costs_mrq       DOUBLE
                                 fair_value_chg_gain_mrq       DOUBLE
                                       invest_income_mrq       DOUBLE
                  invest_income_of_jv_and_associates_mrq       DOUBLE
income_derecognition_of_fin_assets_at_amortized_cost_mrq       DOUBLE
                            net_income_of_open_hedge_mrq       DOUBLE
                                       exchange_gain_mrq       DOUBLE
                               asset_disposal_income_mrq       DOUBLE
                                        other_income_mrq       DOUBLE
                       spec_diff_of_operating_profit_mrq       DOUBLE
                     totbal_diff_of_operating_profit_mrq       DOUBLE
                                    operating_profit_mrq       DOUBLE
                                 nonoperating_income_mrq       DOUBLE
                         noncurr_assets_dispose_gain_mrq       DOUBLE
                                  nonoperating_costs_mrq       DOUBLE
                         noncurr_assets_dispose_loss_mrq       DOUBLE
                           spec_diff_of_total_profit_mrq       DOUBLE
                         totbal_diff_of_total_profit_mrq       DOUBLE
                                        total_profit_mrq       DOUBLE
                                  income_tax_expense_mrq       DOUBLE
                             spec_diff_of_net_profit_mrq       DOUBLE
                           totbal_diff_of_net_profit_mrq       DOUBLE
                                          net_profit_mrq       DOUBLE
                     continuing_operation_net_profit_mrq       DOUBLE
                   discontinued_operation_net_profit_mrq       DOUBLE
                   net_profit_to_parent_shareholders_mrq       DOUBLE
                              net_profit_to_minority_mrq       DOUBLE
                                           eps_basic_mrq       DOUBLE
                                         eps_diluted_mrq       DOUBLE
                                income_othcom_income_mrq       DOUBLE
                othcom_income_to_parent_shareholders_mrq       DOUBLE
                         othcom_income_cannt_reclass_mrq       DOUBLE
                               chg_by_remeasurements_mrq       DOUBLE
     othcom_income_cannt_reclass_under_equity_method_mrq       DOUBLE
                                 other_cannt_reclass_mrq       DOUBLE
             other_equity_instruments_fair_value_chg_mrq       DOUBLE
                      own_credit_risk_fair_value_chg_mrq       DOUBLE
                               othcom_income_reclass_mrq       DOUBLE
           othcom_income_reclass_under_equity_method_mrq       DOUBLE
        available_for_sale_fin_assets_fair_value_chg_mrq       DOUBLE
                     gains_or_losses_from_htm_to_afs_mrq       DOUBLE
      effective_of_gains_or_losses_on_cashflow_hedge_mrq       DOUBLE
         income_translation_diff_of_foreign_currency_mrq       DOUBLE
                                       other_reclass_mrq       DOUBLE
               other_debt_investments_fair_value_chg_mrq       DOUBLE
            othcom_income_from_reclass_of_fin_assets_mrq       DOUBLE
         credit_impairment_of_other_debt_investments_mrq       DOUBLE
                              cashflow_hedge_reserve_mrq       DOUBLE
                           othcom_income_to_minority_mrq       DOUBLE
                          total_comprehensive_income_mrq       DOUBLE
   total_comprehensive_income_to_parent_shareholders_mrq       DOUBLE
               cash_received_from_sales_and_services_mrq       DOUBLE
                                  netinc_in_deposits_mrq       DOUBLE
              netinc_in_borrowings_from_central_bank_mrq       DOUBLE
         netinc_in_loans_from_other_fin_institutions_mrq       DOUBLE
                         cash_received_from_premiums_mrq       DOUBLE
                  net_cash_received_from_reinsurance_mrq       DOUBLE
             netinc_in_insurance_deposits_and_invest_mrq       DOUBLE
                       netinc_in_disposal_fin_assets_mrq       DOUBLE
   cash_received_from_interests_fess_and_commissions_mrq       DOUBLE
     netinc_in_loans_from_banks_and_fin_institutions_mrq       DOUBLE
                   netinc_in_repurchase_transactions_mrq       DOUBLE
                            taxes_and_levies_rebates_mrq       DOUBLE
                  cash_received_from_other_operating_mrq       DOUBLE
                                  spec_diff_of_cifoa_mrq       DOUBLE
                                totbal_diff_of_cifoa_mrq       DOUBLE
                                      subtotal_cifoa_mrq       DOUBLE
                    cash_paid_for_goods_and_services_mrq       DOUBLE
                        netinc_in_loans_and_advances_mrq       DOUBLE
              netinc_deposits_central_bank_interbank_mrq       DOUBLE
                                cash_paid_for_claims_mrq       DOUBLE
        cash_paid_for_interests_fees_and_commissions_mrq       DOUBLE
                      cash_paid_for_policy_dividends_mrq       DOUBLE
                             cash_paid_for_employees_mrq       DOUBLE
                      cash_paid_for_taxes_and_levies_mrq       DOUBLE
                                         other_cofoa_mrq       DOUBLE
                                  spec_diff_of_cofoa_mrq       DOUBLE
                                totbal_diff_of_cofoa_mrq       DOUBLE
                                      subtotal_cofoa_mrq       DOUBLE
                              spec_diff_of_net_cffoa_mrq       DOUBLE
                            totbal_diff_of_net_cffoa_mrq       DOUBLE
                                           net_cffoa_mrq       DOUBLE
             cash_received_from_disposal_investments_mrq       DOUBLE
                                return_on_investment_mrq       DOUBLE
         net_cash_received_from_disposal_filt_assets_mrq       DOUBLE
        net_cash_received_from_disposal_subsidiaries_mrq       DOUBLE
                  cash_received_from_other_investing_mrq       DOUBLE
                                  spec_diff_of_cifia_mrq       DOUBLE
                                totbal_diff_of_cifia_mrq       DOUBLE
                                      subtotal_cifia_mrq       DOUBLE
                           cash_paid_for_filt_assets_mrq       DOUBLE
                           cash_paid_for_investments_mrq       DOUBLE
                              netinc_in_pledge_loans_mrq       DOUBLE
                 cash_paid_by_acquiring_subsidiaries_mrq       DOUBLE
                       cash_paid_for_other_investing_mrq       DOUBLE
                                  spec_diff_of_cofia_mrq       DOUBLE
                                totbal_diff_of_cofia_mrq       DOUBLE
                                   subtotal_of_cofia_mrq       DOUBLE
                              spec_diff_of_net_cffia_mrq       DOUBLE
                            totbal_diff_of_net_cffia_mrq       DOUBLE
                                           net_cffia_mrq       DOUBLE
                      capital_contributions_received_mrq       DOUBLE
         cash_received_by_subsidiaries_from_minority_mrq       DOUBLE
                       cash_received_from_borrowings_mrq       DOUBLE
                       cash_received_from_bond_issue_mrq       DOUBLE
                  cash_received_from_other_financing_mrq       DOUBLE
                                  spec_diff_of_ciffa_mrq       DOUBLE
                                totbal_diff_of_ciffa_mrq       DOUBLE
                                      subtotal_ciffa_mrq       DOUBLE
                        cash_paid_for_debt_repayment_mrq       DOUBLE
           cash_paid_for_dividends_profits_interests_mrq       DOUBLE
               cash_paid_by_subsidiaries_to_minority_mrq       DOUBLE
                       cash_paid_for_other_financing_mrq       DOUBLE
                                  spec_diff_of_coffa_mrq       DOUBLE
                                totbal_diff_of_coffa_mrq       DOUBLE
