                                   column_name  column_type
                                          date TIMESTAMP_NS
                                    instrument      VARCHAR
                                   report_date TIMESTAMP_NS
                                   change_type      TINYINT
                                 bad_debt_loss       DOUBLE
                  inventory_price_dropped_loss       DOUBLE
                     salesable_impairment_loss       DOUBLE
              held_to_maturity_impairment_loss       DOUBLE
   long_term_equity_investment_impairment_loss       DOUBLE
               invest_property_impairment_loss       DOUBLE
                  fixed_assets_impairment_loss       DOUBLE
          engineering_material_impairment_loss       DOUBLE
             construct_project_impairment_loss       DOUBLE
             intangible_assets_impairment_loss       DOUBLE
                      goodwill_impairment_loss       DOUBLE
                         other_impairment_loss       DOUBLE
                      currency_impairment_loss       DOUBLE
           accounts_receivable_impairment_loss       DOUBLE
              biils_receivable_impairment_loss       DOUBLE
          long_term_receivable_impairment_loss       DOUBLE
               debt_investment_impairment_loss       DOUBLE
         other_debt_investment_impairment_loss       DOUBLE
     tradable_financial_assets_impairment_loss       DOUBLE
                  lending_fund_impairment_loss       DOUBLE
                financing_fund_impairment_loss       DOUBLE
   buy_resale_financial_assets_impairment_loss       DOUBLE
             loans_and_payment_impairment_loss       DOUBLE
            interbank_deposite_impairment_loss       DOUBLE
         central_bank_deposite_impairment_loss       DOUBLE
noncurrent_assets_within_1year_impairment_loss       DOUBLE
  financial_guarantee_contract_impairment_loss       DOUBLE
                   loan_commit_impairment_loss       DOUBLE
                           wmp_impairment_loss       DOUBLE
               exchange_change_impairment_loss       DOUBLE
                margin_trading_impairment_loss       DOUBLE
                     asset_impairment_loss_sum       DOUBLE
                    credit_impairment_loss_sum       DOUBLE
