                          column_name  column_type
                                 date TIMESTAMP_NS
                           instrument      VARCHAR
                          report_date TIMESTAMP_NS
                          change_type      TINYINT
                      illiquid_assets       DOUBLE
                              taxfree       DOUBLE
                    government_grants       DOUBLE
                        occupancy_fee       DOUBLE
                fair_value_investment       DOUBLE
          non_monetary_asset_exchange       DOUBLE
                    manage_investment       DOUBLE
                     force_impairment       DOUBLE
                  debt_reorganization       DOUBLE
            enterprise_reorganization       DOUBLE
                   fair_value_trading       DOUBLE
                                merge       DOUBLE
                  bussiness_unrelated       DOUBLE
               other_financial_income       DOUBLE
       reversal_of_impairment_reserve       DOUBLE
               external_entruste_loan       DOUBLE
invested_realestate_fair_value_change       DOUBLE
           influence_after_adjustment       DOUBLE
                          trustee_fee       DOUBLE
            other_nonoperating_income       DOUBLE
             other_nonrecurring_items       DOUBLE
                    income_tax_impact       DOUBLE
         nonrecurring_income_to_owner       DOUBLE
      nonrecurring_income_to_minority       DOUBLE
              nonrecurring_income_sum       DOUBLE
