                                          column_name  column_type
                                                 date TIMESTAMP_NS
                                           instrument      VARCHAR
                                          report_date TIMESTAMP_NS
                                                shift      TINYINT
                                inventory_turnover_lf       DOUBLE
                               inventory_turnover_mrq       DOUBLE
                               inventory_turnover_ttm       DOUBLE
                      accounts_receivable_turnover_lf       DOUBLE
                     accounts_receivable_turnover_mrq       DOUBLE
                     accounts_receivable_turnover_ttm       DOUBLE
            notes_and_accounts_receivable_turnover_lf       DOUBLE
           notes_and_accounts_receivable_turnover_mrq       DOUBLE
           notes_and_accounts_receivable_turnover_ttm       DOUBLE
      accounts_receivable_contract_assets_turnover_lf       DOUBLE
     accounts_receivable_contract_assets_turnover_mrq       DOUBLE
     accounts_receivable_contract_assets_turnover_ttm       DOUBLE
                         accounts_payable_turnover_lf       DOUBLE
                        accounts_payable_turnover_mrq       DOUBLE
                        accounts_payable_turnover_ttm       DOUBLE
               notes_and_accounts_payable_turnover_lf       DOUBLE
              notes_and_accounts_payable_turnover_mrq       DOUBLE
              notes_and_accounts_payable_turnover_ttm       DOUBLE
               advances_and_contract_liab_turnover_lf       DOUBLE
              advances_and_contract_liab_turnover_mrq       DOUBLE
              advances_and_contract_liab_turnover_ttm       DOUBLE
                           current_assets_turnover_lf       DOUBLE
                          current_assets_turnover_mrq       DOUBLE
                          current_assets_turnover_ttm       DOUBLE
                           noncurr_assets_turnover_lf       DOUBLE
                          noncurr_assets_turnover_mrq       DOUBLE
                          noncurr_assets_turnover_ttm       DOUBLE
                          working_capital_turnover_lf       DOUBLE
                         working_capital_turnover_mrq       DOUBLE
                         working_capital_turnover_ttm       DOUBLE
                               fix_assets_turnover_lf       DOUBLE
                              fix_assets_turnover_mrq       DOUBLE
                              fix_assets_turnover_ttm       DOUBLE
                        intangible_assets_turnover_lf       DOUBLE
                       intangible_assets_turnover_mrq       DOUBLE
                       intangible_assets_turnover_ttm       DOUBLE
                             total_assets_turnover_lf       DOUBLE
                            total_assets_turnover_mrq       DOUBLE
                            total_assets_turnover_ttm       DOUBLE
                               net_assets_turnover_lf       DOUBLE
                              net_assets_turnover_mrq       DOUBLE
                              net_assets_turnover_ttm       DOUBLE
                           inventory_turnover_days_lf       DOUBLE
                          inventory_turnover_days_mrq       DOUBLE
                          inventory_turnover_days_ttm       DOUBLE
                 accounts_receivable_turnover_days_lf       DOUBLE
                accounts_receivable_turnover_days_mrq       DOUBLE
                accounts_receivable_turnover_days_ttm       DOUBLE
       notes_and_accounts_receivable_turnover_days_lf       DOUBLE
      notes_and_accounts_receivable_turnover_days_mrq       DOUBLE
      notes_and_accounts_receivable_turnover_days_ttm       DOUBLE
 accounts_receivable_contract_assets_turnover_days_lf       DOUBLE
accounts_receivable_contract_assets_turnover_days_mrq       DOUBLE
accounts_receivable_contract_assets_turnover_days_ttm       DOUBLE
                    accounts_payable_turnover_days_lf       DOUBLE
                   accounts_payable_turnover_days_mrq       DOUBLE
                   accounts_payable_turnover_days_ttm       DOUBLE
          notes_and_accounts_payable_turnover_days_lf       DOUBLE
         notes_and_accounts_payable_turnover_days_mrq       DOUBLE
         notes_and_accounts_payable_turnover_days_ttm       DOUBLE
          advances_and_contract_liab_turnover_days_lf       DOUBLE
         advances_and_contract_liab_turnover_days_mrq       DOUBLE
         advances_and_contract_liab_turnover_days_ttm       DOUBLE
                      current_assets_turnover_days_lf       DOUBLE
                     current_assets_turnover_days_mrq       DOUBLE
                     current_assets_turnover_days_ttm       DOUBLE
                      noncurr_assets_turnover_days_lf       DOUBLE
                     noncurr_assets_turnover_days_mrq       DOUBLE
                     noncurr_assets_turnover_days_ttm       DOUBLE
                     working_capital_turnover_days_lf       DOUBLE
                    working_capital_turnover_days_mrq       DOUBLE
                    working_capital_turnover_days_ttm       DOUBLE
                          fix_assets_turnover_days_lf       DOUBLE
                         fix_assets_turnover_days_mrq       DOUBLE
                         fix_assets_turnover_days_ttm       DOUBLE
                   intangible_assets_turnover_days_lf       DOUBLE
                  intangible_assets_turnover_days_mrq       DOUBLE
                  intangible_assets_turnover_days_ttm       DOUBLE
                        total_assets_turnover_days_lf       DOUBLE
                       total_assets_turnover_days_mrq       DOUBLE
                       total_assets_turnover_days_ttm       DOUBLE
                          net_assets_turnover_days_lf       DOUBLE
                         net_assets_turnover_days_mrq       DOUBLE
                         net_assets_turnover_days_ttm       DOUBLE
                                   operating_cycle_lf       DOUBLE
                                  operating_cycle_mrq       DOUBLE
                                  operating_cycle_ttm       DOUBLE
                               net_operating_cycle_lf       DOUBLE
                              net_operating_cycle_mrq       DOUBLE
                              net_operating_cycle_ttm       DOUBLE
