                          column_name  column_type
                                 date TIMESTAMP_NS
                           instrument      VARCHAR
                          report_date TIMESTAMP_NS
                                shift      TINYINT
                           roe_avg_lf       DOUBLE
                          roe_avg_mrq       DOUBLE
                          roe_avg_ttm       DOUBLE
                        roe_period_lf       DOUBLE
                       roe_period_mrq       DOUBLE
                       roe_period_ttm       DOUBLE
                    roe_avg_deduct_lf       DOUBLE
                   roe_avg_deduct_mrq       DOUBLE
                   roe_avg_deduct_ttm       DOUBLE
                 roe_period_deduct_lf       DOUBLE
                roe_period_deduct_mrq       DOUBLE
                roe_period_deduct_ttm       DOUBLE
                          roa2_avg_lf       DOUBLE
                         roa2_avg_mrq       DOUBLE
                         roa2_avg_ttm       DOUBLE
                       roa2_period_lf       DOUBLE
                      roa2_period_mrq       DOUBLE
                      roa2_period_ttm       DOUBLE
                           roa_avg_lf       DOUBLE
                          roa_avg_mrq       DOUBLE
                          roa_avg_ttm       DOUBLE
                        roa_period_lf       DOUBLE
                       roa_period_mrq       DOUBLE
                       roa_period_ttm       DOUBLE
                              roic_lf       DOUBLE
                             roic_mrq       DOUBLE
                             roic_ttm       DOUBLE
                   net_profit_rate_lf       DOUBLE
                  net_profit_rate_mrq       DOUBLE
                  net_profit_rate_ttm       DOUBLE
                 gross_profit_rate_lf       DOUBLE
                gross_profit_rate_mrq       DOUBLE
                gross_profit_rate_ttm       DOUBLE
                              cogs_lf       DOUBLE
                             cogs_mrq       DOUBLE
                             cogs_ttm       DOUBLE
               period_expense_rate_lf       DOUBLE
              period_expense_rate_mrq       DOUBLE
              period_expense_rate_ttm       DOUBLE
            profit_rate_to_expense_lf       DOUBLE
           profit_rate_to_expense_mrq       DOUBLE
           profit_rate_to_expense_ttm       DOUBLE
              prime_operating_rate_lf       DOUBLE
             prime_operating_rate_mrq       DOUBLE
             prime_operating_rate_ttm       DOUBLE
 profit_of_parent_to_total_revenue_lf       DOUBLE
profit_of_parent_to_total_revenue_mrq       DOUBLE
profit_of_parent_to_total_revenue_ttm       DOUBLE
             ebit_to_total_revenue_lf       DOUBLE
            ebit_to_total_revenue_mrq       DOUBLE
            ebit_to_total_revenue_ttm       DOUBLE
              ebit_to_total_assets_lf       DOUBLE
             ebit_to_total_assets_mrq       DOUBLE
             ebit_to_total_assets_ttm       DOUBLE
           ebitda_to_total_revenue_lf       DOUBLE
          ebitda_to_total_revenue_mrq       DOUBLE
          ebitda_to_total_revenue_ttm       DOUBLE
            sales_to_total_revenue_lf       DOUBLE
           sales_to_total_revenue_mrq       DOUBLE
           sales_to_total_revenue_ttm       DOUBLE
            admin_to_total_revenue_lf       DOUBLE
           admin_to_total_revenue_mrq       DOUBLE
           admin_to_total_revenue_ttm       DOUBLE
 research_develop_to_total_revenue_lf       DOUBLE
research_develop_to_total_revenue_mrq       DOUBLE
research_develop_to_total_revenue_ttm       DOUBLE
          finance_to_total_revenue_lf       DOUBLE
         finance_to_total_revenue_mrq       DOUBLE
         finance_to_total_revenue_ttm       DOUBLE
     asset_impair_to_total_revenue_lf       DOUBLE
    asset_impair_to_total_revenue_mrq       DOUBLE
    asset_impair_to_total_revenue_ttm       DOUBLE
  asset_impair_to_operating_profit_lf       DOUBLE
 asset_impair_to_operating_profit_mrq       DOUBLE
 asset_impair_to_operating_profit_ttm       DOUBLE
    credit_impair_to_total_revenue_lf       DOUBLE
   credit_impair_to_total_revenue_mrq       DOUBLE
   credit_impair_to_total_revenue_ttm       DOUBLE
 credit_impair_to_operating_profit_lf       DOUBLE
credit_impair_to_operating_profit_mrq       DOUBLE
credit_impair_to_operating_profit_ttm       DOUBLE
