                                             column_name  column_type
                                                    date TIMESTAMP_NS
                                              instrument      VARCHAR
                                             report_date TIMESTAMP_NS
                                                   shift      TINYINT
                             total_operating_revenue_ttm       DOUBLE
                                   operating_revenue_ttm       DOUBLE
                                     interest_income_ttm       DOUBLE
                            insurance_premium_income_ttm       DOUBLE
                           fee_and_commission_income_ttm       DOUBLE
                      spec_diff_of_operating_revenue_ttm       DOUBLE
                    totbal_diff_of_operating_revenue_ttm       DOUBLE
                               total_operating_costs_ttm       DOUBLE
                                     operating_costs_ttm       DOUBLE
                                      interest_costs_ttm       DOUBLE
                            fee_and_commission_costs_ttm       DOUBLE
                                          surrenders_ttm       DOUBLE
                           net_insurance_claims_paid_ttm       DOUBLE
                     net_amount_of_insurance_reserve_ttm       DOUBLE
                         expense_on_policy_dividends_ttm       DOUBLE
                         reinsurance_premium_expense_ttm       DOUBLE
                                    taxes_and_levies_ttm       DOUBLE
                                      selling_epense_ttm       DOUBLE
                              administrative_expense_ttm       DOUBLE
                    research_and_development_expense_ttm       DOUBLE
                                     finance_expense_ttm       DOUBLE
                                fin_interest_expense_ttm       DOUBLE
                                 fin_interest_income_ttm       DOUBLE
                               asset_impairment_loss_ttm       DOUBLE
                              credit_impairment_loss_ttm       DOUBLE
                        spec_diff_of_operating_costs_ttm       DOUBLE
                      totbal_diff_of_operating_costs_ttm       DOUBLE
                                 fair_value_chg_gain_ttm       DOUBLE
                                       invest_income_ttm       DOUBLE
                  invest_income_of_jv_and_associates_ttm       DOUBLE
income_derecognition_of_fin_assets_at_amortized_cost_ttm       DOUBLE
                            net_income_of_open_hedge_ttm       DOUBLE
                                       exchange_gain_ttm       DOUBLE
                               asset_disposal_income_ttm       DOUBLE
                                        other_income_ttm       DOUBLE
                       spec_diff_of_operating_profit_ttm       DOUBLE
                     totbal_diff_of_operating_profit_ttm       DOUBLE
                                    operating_profit_ttm       DOUBLE
                                 nonoperating_income_ttm       DOUBLE
                         noncurr_assets_dispose_gain_ttm       DOUBLE
                                  nonoperating_costs_ttm       DOUBLE
                         noncurr_assets_dispose_loss_ttm       DOUBLE
                           spec_diff_of_total_profit_ttm       DOUBLE
                         totbal_diff_of_total_profit_ttm       DOUBLE
                                        total_profit_ttm       DOUBLE
                                  income_tax_expense_ttm       DOUBLE
                             spec_diff_of_net_profit_ttm       DOUBLE
                           totbal_diff_of_net_profit_ttm       DOUBLE
                                          net_profit_ttm       DOUBLE
                     continuing_operation_net_profit_ttm       DOUBLE
                   discontinued_operation_net_profit_ttm       DOUBLE
                   net_profit_to_parent_shareholders_ttm       DOUBLE
                              net_profit_to_minority_ttm       DOUBLE
                                           eps_basic_ttm       DOUBLE
                                         eps_diluted_ttm       DOUBLE
                                income_othcom_income_ttm       DOUBLE
                othcom_income_to_parent_shareholders_ttm       DOUBLE
                         othcom_income_cannt_reclass_ttm       DOUBLE
                               chg_by_remeasurements_ttm       DOUBLE
     othcom_income_cannt_reclass_under_equity_method_ttm       DOUBLE
                                 other_cannt_reclass_ttm       DOUBLE
             other_equity_instruments_fair_value_chg_ttm       DOUBLE
                      own_credit_risk_fair_value_chg_ttm       DOUBLE
                               othcom_income_reclass_ttm       DOUBLE
           othcom_income_reclass_under_equity_method_ttm       DOUBLE
        available_for_sale_fin_assets_fair_value_chg_ttm       DOUBLE
                     gains_or_losses_from_htm_to_afs_ttm       DOUBLE
      effective_of_gains_or_losses_on_cashflow_hedge_ttm       DOUBLE
         income_translation_diff_of_foreign_currency_ttm       DOUBLE
                                       other_reclass_ttm       DOUBLE
               other_debt_investments_fair_value_chg_ttm       DOUBLE
            othcom_income_from_reclass_of_fin_assets_ttm       DOUBLE
         credit_impairment_of_other_debt_investments_ttm       DOUBLE
                              cashflow_hedge_reserve_ttm       DOUBLE
                           othcom_income_to_minority_ttm       DOUBLE
                          total_comprehensive_income_ttm       DOUBLE
   total_comprehensive_income_to_parent_shareholders_ttm       DOUBLE
               cash_received_from_sales_and_services_ttm       DOUBLE
                                  netinc_in_deposits_ttm       DOUBLE
              netinc_in_borrowings_from_central_bank_ttm       DOUBLE
         netinc_in_loans_from_other_fin_institutions_ttm       DOUBLE
                         cash_received_from_premiums_ttm       DOUBLE
                  net_cash_received_from_reinsurance_ttm       DOUBLE
             netinc_in_insurance_deposits_and_invest_ttm       DOUBLE
                       netinc_in_disposal_fin_assets_ttm       DOUBLE
   cash_received_from_interests_fess_and_commissions_ttm       DOUBLE
     netinc_in_loans_from_banks_and_fin_institutions_ttm       DOUBLE
                   netinc_in_repurchase_transactions_ttm       DOUBLE
                            taxes_and_levies_rebates_ttm       DOUBLE
                  cash_received_from_other_operating_ttm       DOUBLE
                                  spec_diff_of_cifoa_ttm       DOUBLE
                                totbal_diff_of_cifoa_ttm       DOUBLE
                                      subtotal_cifoa_ttm       DOUBLE
                    cash_paid_for_goods_and_services_ttm       DOUBLE
                        netinc_in_loans_and_advances_ttm       DOUBLE
              netinc_deposits_central_bank_interbank_ttm       DOUBLE
                                cash_paid_for_claims_ttm       DOUBLE
        cash_paid_for_interests_fees_and_commissions_ttm       DOUBLE
                      cash_paid_for_policy_dividends_ttm       DOUBLE
                             cash_paid_for_employees_ttm       DOUBLE
                      cash_paid_for_taxes_and_levies_ttm       DOUBLE
                                         other_cofoa_ttm       DOUBLE
                                  spec_diff_of_cofoa_ttm       DOUBLE
                                totbal_diff_of_cofoa_ttm       DOUBLE
                                      subtotal_cofoa_ttm       DOUBLE
                              spec_diff_of_net_cffoa_ttm       DOUBLE
                            totbal_diff_of_net_cffoa_ttm       DOUBLE
                                           net_cffoa_ttm       DOUBLE
             cash_received_from_disposal_investments_ttm       DOUBLE
                                return_on_investment_ttm       DOUBLE
         net_cash_received_from_disposal_filt_assets_ttm       DOUBLE
        net_cash_received_from_disposal_subsidiaries_ttm       DOUBLE
                  cash_received_from_other_investing_ttm       DOUBLE
                                  spec_diff_of_cifia_ttm       DOUBLE
                                totbal_diff_of_cifia_ttm       DOUBLE
                                      subtotal_cifia_ttm       DOUBLE
                           cash_paid_for_filt_assets_ttm       DOUBLE
                           cash_paid_for_investments_ttm       DOUBLE
                              netinc_in_pledge_loans_ttm       DOUBLE
                 cash_paid_by_acquiring_subsidiaries_ttm       DOUBLE
                       cash_paid_for_other_investing_ttm       DOUBLE
                                  spec_diff_of_cofia_ttm       DOUBLE
                                totbal_diff_of_cofia_ttm       DOUBLE
                                   subtotal_of_cofia_ttm       DOUBLE
                              spec_diff_of_net_cffia_ttm       DOUBLE
                            totbal_diff_of_net_cffia_ttm       DOUBLE
                                           net_cffia_ttm       DOUBLE
                      capital_contributions_received_ttm       DOUBLE
         cash_received_by_subsidiaries_from_minority_ttm       DOUBLE
                       cash_received_from_borrowings_ttm       DOUBLE
                       cash_received_from_bond_issue_ttm       DOUBLE
                  cash_received_from_other_financing_ttm       DOUBLE
                                  spec_diff_of_ciffa_ttm       DOUBLE
                                totbal_diff_of_ciffa_ttm       DOUBLE
                                      subtotal_ciffa_ttm       DOUBLE
                        cash_paid_for_debt_repayment_ttm       DOUBLE
           cash_paid_for_dividends_profits_interests_ttm       DOUBLE
               cash_paid_by_subsidiaries_to_minority_ttm       DOUBLE
                       cash_paid_for_other_financing_ttm       DOUBLE
                                  spec_diff_of_coffa_ttm       DOUBLE
                                totbal_diff_of_coffa_ttm       DOUBLE
