                           column_name  column_type
                                  date TIMESTAMP_NS
                            instrument      VARCHAR
               active_buy_volume_large       DOUBLE
              passive_buy_volume_large       DOUBLE
              active_sell_volume_large       DOUBLE
             passive_sell_volume_large       DOUBLE
               active_buy_amount_large       DOUBLE
              passive_buy_amount_large       DOUBLE
              active_sell_amount_large       DOUBLE
             passive_sell_amount_large       DOUBLE
                 active_buy_volume_big       DOUBLE
                passive_buy_volume_big       DOUBLE
                active_sell_volume_big       DOUBLE
               passive_sell_volume_big       DOUBLE
                 active_buy_amount_big       DOUBLE
                passive_buy_amount_big       DOUBLE
                active_sell_amount_big       DOUBLE
               passive_sell_amount_big       DOUBLE
                 active_buy_volume_mid       DOUBLE
                passive_buy_volume_mid       DOUBLE
                active_sell_volume_mid       DOUBLE
               passive_sell_volume_mid       DOUBLE
                 active_buy_amount_mid       DOUBLE
                passive_buy_amount_mid       DOUBLE
                active_sell_amount_mid       DOUBLE
               passive_sell_amount_mid       DOUBLE
               active_buy_volume_small       DOUBLE
              passive_buy_volume_small       DOUBLE
              active_sell_volume_small       DOUBLE
             passive_sell_volume_small       DOUBLE
               active_buy_amount_small       DOUBLE
              passive_buy_amount_small       DOUBLE
              active_sell_amount_small       DOUBLE
             passive_sell_amount_small       DOUBLE
                 active_buy_volume_all       DOUBLE
                 active_buy_amount_all       DOUBLE
                passive_buy_volume_all       DOUBLE
                passive_buy_amount_all       DOUBLE
                active_sell_volume_all       DOUBLE
                active_sell_amount_all       DOUBLE
               passive_sell_volume_all       DOUBLE
               passive_sell_amount_all       DOUBLE
                active_buy_volume_main       DOUBLE
                active_buy_amount_main       DOUBLE
               passive_buy_volume_main       DOUBLE
               passive_buy_amount_main       DOUBLE
               active_sell_volume_main       DOUBLE
               active_sell_amount_main       DOUBLE
              passive_sell_volume_main       DOUBLE
              passive_sell_amount_main       DOUBLE
           net_active_buy_volume_large       DOUBLE
           net_active_buy_amount_large       DOUBLE
             net_active_buy_volume_big       DOUBLE
             net_active_buy_amount_big       DOUBLE
             net_active_buy_volume_mid       DOUBLE
             net_active_buy_amount_mid       DOUBLE
           net_active_buy_volume_small       DOUBLE
           net_active_buy_amount_small       DOUBLE
             net_active_buy_volume_all       DOUBLE
             net_active_buy_amount_all       DOUBLE
            net_active_buy_volume_main       DOUBLE
            net_active_buy_amount_main       DOUBLE
                   inflow_volume_large       DOUBLE
                  outflow_volume_large       DOUBLE
                  netflow_volume_large       DOUBLE
                   inflow_amount_large       DOUBLE
                  outflow_amount_large       DOUBLE
                  netflow_amount_large       DOUBLE
                     inflow_volume_big       DOUBLE
                    outflow_volume_big       DOUBLE
                    netflow_volume_big       DOUBLE
                     inflow_amount_big       DOUBLE
                    outflow_amount_big       DOUBLE
                    netflow_amount_big       DOUBLE
                     inflow_volume_mid       DOUBLE
                    outflow_volume_mid       DOUBLE
                    netflow_volume_mid       DOUBLE
                     inflow_amount_mid       DOUBLE
                    outflow_amount_mid       DOUBLE
                    netflow_amount_mid       DOUBLE
                   inflow_volume_small       DOUBLE
                  outflow_volume_small       DOUBLE
                  netflow_volume_small       DOUBLE
                   inflow_amount_small       DOUBLE
                  outflow_amount_small       DOUBLE
                  netflow_amount_small       DOUBLE
                     inflow_volume_all       DOUBLE
                    outflow_volume_all       DOUBLE
                    netflow_volume_all       DOUBLE
                     inflow_amount_all       DOUBLE
                    outflow_amount_all       DOUBLE
                    netflow_amount_all       DOUBLE
                    inflow_volume_main       DOUBLE
                   outflow_volume_main       DOUBLE
                   netflow_volume_main       DOUBLE
                    inflow_amount_main       DOUBLE
                   outflow_amount_main       DOUBLE
                   netflow_amount_main       DOUBLE
          active_buy_volume_rate_large       DOUBLE
          active_buy_amount_rate_large       DOUBLE
            active_buy_volume_rate_big       DOUBLE
            active_buy_amount_rate_big       DOUBLE
            active_buy_volume_rate_mid       DOUBLE
            active_buy_amount_rate_mid       DOUBLE
          active_buy_volume_rate_small       DOUBLE
          active_buy_amount_rate_small       DOUBLE
            active_buy_volume_rate_all       DOUBLE
            active_buy_amount_rate_all       DOUBLE
           active_buy_volume_rate_main       DOUBLE
           active_buy_amount_rate_main       DOUBLE
         passive_buy_volume_rate_large       DOUBLE
         passive_buy_amount_rate_large       DOUBLE
           passive_buy_volume_rate_big       DOUBLE
           passive_buy_amount_rate_big       DOUBLE
           passive_buy_volume_rate_mid       DOUBLE
           passive_buy_amount_rate_mid       DOUBLE
         passive_buy_volume_rate_small       DOUBLE
         passive_buy_amount_rate_small       DOUBLE
           passive_buy_volume_rate_all       DOUBLE
           passive_buy_amount_rate_all       DOUBLE
          passive_buy_volume_rate_main       DOUBLE
          passive_buy_amount_rate_main       DOUBLE
         active_sell_volume_rate_large       DOUBLE
         active_sell_amount_rate_large       DOUBLE
           active_sell_volume_rate_big       DOUBLE
           active_sell_amount_rate_big       DOUBLE
           active_sell_volume_rate_mid       DOUBLE
           active_sell_amount_rate_mid       DOUBLE
         active_sell_volume_rate_small       DOUBLE
         active_sell_amount_rate_small       DOUBLE
           active_sell_volume_rate_all       DOUBLE
           active_sell_amount_rate_all       DOUBLE
          active_sell_volume_rate_main       DOUBLE
          active_sell_amount_rate_main       DOUBLE
        passive_sell_volume_rate_large       DOUBLE
        passive_sell_amount_rate_large       DOUBLE
          passive_sell_volume_rate_big       DOUBLE
          passive_sell_amount_rate_big       DOUBLE
          passive_sell_volume_rate_mid       DOUBLE
          passive_sell_amount_rate_mid       DOUBLE
        passive_sell_volume_rate_small       DOUBLE
        passive_sell_amount_rate_small       DOUBLE
          passive_sell_volume_rate_all       DOUBLE
          passive_sell_amount_rate_all       DOUBLE
         passive_sell_volume_rate_main       DOUBLE
         passive_sell_amount_rate_main       DOUBLE
      net_active_buy_volume_rate_large       DOUBLE
      net_active_buy_amount_rate_large       DOUBLE
        net_active_buy_volume_rate_big       DOUBLE
        net_active_buy_amount_rate_big       DOUBLE
        net_active_buy_volume_rate_mid       DOUBLE
        net_active_buy_amount_rate_mid       DOUBLE
      net_active_buy_volume_rate_small       DOUBLE
      net_active_buy_amount_rate_small       DOUBLE
        net_active_buy_volume_rate_all       DOUBLE
        net_active_buy_amount_rate_all       DOUBLE
       net_active_buy_volume_rate_main       DOUBLE
       net_active_buy_amount_rate_main       DOUBLE
              inflow_volume_rate_large       DOUBLE
              inflow_amount_rate_large       DOUBLE
                inflow_volume_rate_big       DOUBLE
                inflow_amount_rate_big       DOUBLE
                inflow_volume_rate_mid       DOUBLE
                inflow_amount_rate_mid       DOUBLE
              inflow_volume_rate_small       DOUBLE
              inflow_amount_rate_small       DOUBLE
                inflow_volume_rate_all       DOUBLE
                inflow_amount_rate_all       DOUBLE
               inflow_volume_rate_main       DOUBLE
               inflow_amount_rate_main       DOUBLE
             outflow_volume_rate_large       DOUBLE
             outflow_amount_rate_large       DOUBLE
               outflow_volume_rate_big       DOUBLE
               outflow_amount_rate_big       DOUBLE
               outflow_volume_rate_mid       DOUBLE
               outflow_amount_rate_mid       DOUBLE
             outflow_volume_rate_small       DOUBLE
             outflow_amount_rate_small       DOUBLE
               outflow_volume_rate_all       DOUBLE
               outflow_amount_rate_all       DOUBLE
              outflow_volume_rate_main       DOUBLE
              outflow_amount_rate_main       DOUBLE
             netflow_volume_rate_large       DOUBLE
             netflow_amount_rate_large       DOUBLE
               netflow_volume_rate_big       DOUBLE
