          column_name  column_type
                 date TIMESTAMP_NS
           instrument      VARCHAR
        adjust_factor       DOUBLE
            pre_close       DOUBLE
                 open       DOUBLE
                close       DOUBLE
                 high       DOUBLE
                  low       DOUBLE
               volume       BIGINT
          deal_number      INTEGER
               amount       DOUBLE
         change_ratio       DOUBLE
                 turn       DOUBLE
          upper_limit       DOUBLE
          lower_limit       DOUBLE
         daily_return       DOUBLE
           momentum_5       DOUBLE
           reversal_5       DOUBLE
         volatility_5       DOUBLE
          list_sector      TINYINT
            list_date TIMESTAMP_NS
            list_days       BIGINT
                 name      VARCHAR
     line_price_limit      INTEGER
            st_status      TINYINT
      is_risk_warning      TINYINT
            suspended      TINYINT
   price_limit_status      TINYINT
              is_szzs      INTEGER
              is_sh50      INTEGER
             is_hs300      INTEGER
              is_kc50      INTEGER
            is_zz1000      INTEGER
             is_zz100      INTEGER
             is_zz500      INTEGER
              is_szcz      INTEGER
              is_cybz      INTEGER
             is_sz100      INTEGER
              is_bz50      INTEGER
margin_trading_status      INTEGER
        open_000001SH       DOUBLE
        high_000001SH       DOUBLE
         low_000001SH       DOUBLE
       close_000001SH       DOUBLE
      volume_000001SH       BIGINT
      amount_000001SH       DOUBLE
      return_000001SH       DOUBLE
     beta_000001SH_22       DOUBLE
        open_000016SH       DOUBLE
        high_000016SH       DOUBLE
         low_000016SH       DOUBLE
       close_000016SH       DOUBLE
      volume_000016SH       BIGINT
      amount_000016SH       DOUBLE
      return_000016SH       DOUBLE
     beta_000016SH_22       DOUBLE
        open_000300SH       DOUBLE
        high_000300SH       DOUBLE
         low_000300SH       DOUBLE
       close_000300SH       DOUBLE
      volume_000300SH       BIGINT
      amount_000300SH       DOUBLE
      return_000300SH       DOUBLE
     beta_000300SH_22       DOUBLE
        open_000688SH       DOUBLE
        high_000688SH       DOUBLE
         low_000688SH       DOUBLE
       close_000688SH       DOUBLE
      volume_000688SH       BIGINT
      amount_000688SH       DOUBLE
      return_000688SH       DOUBLE
     beta_000688SH_22       DOUBLE
        open_000852SH       DOUBLE
        high_000852SH       DOUBLE
         low_000852SH       DOUBLE
       close_000852SH       DOUBLE
      volume_000852SH       BIGINT
      amount_000852SH       DOUBLE
      return_000852SH       DOUBLE
     beta_000852SH_22       DOUBLE
        open_000903SH       DOUBLE
        high_000903SH       DOUBLE
         low_000903SH       DOUBLE
       close_000903SH       DOUBLE
      volume_000903SH       BIGINT
      amount_000903SH       DOUBLE
      return_000903SH       DOUBLE
     beta_000903SH_22       DOUBLE
        open_000905SH       DOUBLE
        high_000905SH       DOUBLE
         low_000905SH       DOUBLE
       close_000905SH       DOUBLE
      volume_000905SH       BIGINT
      amount_000905SH       DOUBLE
      return_000905SH       DOUBLE
     beta_000905SH_22       DOUBLE
        open_399001SZ       DOUBLE
        high_399001SZ       DOUBLE
         low_399001SZ       DOUBLE
       close_399001SZ       DOUBLE
      volume_399001SZ       BIGINT
      amount_399001SZ       DOUBLE
      return_399001SZ       DOUBLE
     beta_399001SZ_22       DOUBLE
        open_399006SZ       DOUBLE
        high_399006SZ       DOUBLE
         low_399006SZ       DOUBLE
       close_399006SZ       DOUBLE
      volume_399006SZ       BIGINT
      amount_399006SZ       DOUBLE
      return_399006SZ       DOUBLE
     beta_399006SZ_22       DOUBLE
        open_399330SZ       DOUBLE
        high_399330SZ       DOUBLE
         low_399330SZ       DOUBLE
       close_399330SZ       DOUBLE
      volume_399330SZ       BIGINT
      amount_399330SZ       DOUBLE
      return_399330SZ       DOUBLE
     beta_399330SZ_22       DOUBLE
        open_899050BJ       DOUBLE
        high_899050BJ       DOUBLE
         low_899050BJ       DOUBLE
       close_899050BJ       DOUBLE
      volume_899050BJ       BIGINT
      amount_899050BJ       DOUBLE
      return_899050BJ       DOUBLE
     beta_899050BJ_22       DOUBLE
     total_market_cap       DOUBLE
     float_market_cap       DOUBLE
               pe_ttm       DOUBLE
                   pb       DOUBLE
               ps_ttm       DOUBLE
          pcf_net_ttm       DOUBLE
                sma_5       DOUBLE
               sma_10       DOUBLE
               sma_20       DOUBLE
               sma_60       DOUBLE
              sma_120       DOUBLE
              sma_250       DOUBLE
                ema_5       DOUBLE
               ema_10       DOUBLE
               ema_20       DOUBLE
               ema_60       DOUBLE
              ema_120       DOUBLE
              ema_250       DOUBLE
                wma_5       DOUBLE
               wma_10       DOUBLE
               wma_20       DOUBLE
               wma_60       DOUBLE
              wma_120       DOUBLE
              wma_250       DOUBLE
     macd_diff_5_20_5       DOUBLE
     macd_diff_8_34_7       DOUBLE
    macd_diff_12_26_9       DOUBLE
   macd_diff_10_50_10       DOUBLE
      macd_dea_5_20_5       DOUBLE
      macd_dea_8_34_7       DOUBLE
     macd_dea_12_26_9       DOUBLE
    macd_dea_10_50_10       DOUBLE
     macd_hist_5_20_5       DOUBLE
     macd_hist_8_34_7       DOUBLE
    macd_hist_12_26_9       DOUBLE
   macd_hist_10_50_10       DOUBLE
               bias_5       DOUBLE
              bias_10       DOUBLE
              bias_20       DOUBLE
              bias_60       DOUBLE
             bias_120       DOUBLE
             bias_250       DOUBLE
        kdj_rsv_9_3_3       DOUBLE
       kdj_rsv_14_3_3       DOUBLE
        kdj_rsv_5_3_3       DOUBLE
       kdj_rsv_10_3_6       DOUBLE
       kdj_rsv_20_5_5       DOUBLE
          kdj_k_9_3_3       DOUBLE
         kdj_k_14_3_3       DOUBLE
          kdj_k_5_3_3       DOUBLE
         kdj_k_10_3_6       DOUBLE
         kdj_k_20_5_5       DOUBLE
          kdj_d_9_3_3       DOUBLE
         kdj_d_14_3_3       DOUBLE
          kdj_d_5_3_3       DOUBLE
         kdj_d_10_3_6       DOUBLE
         kdj_d_20_5_5       DOUBLE
          kdj_j_9_3_3       DOUBLE
         kdj_j_14_3_3       DOUBLE
          kdj_j_5_3_3       DOUBLE
         kdj_j_10_3_6       DOUBLE
         kdj_j_20_5_5       DOUBLE
                rsi_6       DOUBLE
               rsi_12       DOUBLE
               rsi_24       DOUBLE
               rsi_48       DOUBLE
               rsi_60       DOUBLE
              rsi_120       DOUBLE
  bbands_middle_5_1d5       DOUBLE
 bbands_middle_10_1d5       DOUBLE
 bbands_middle_20_1d5       DOUBLE
    bbands_middle_5_2       DOUBLE
   bbands_middle_10_2       DOUBLE
   bbands_middle_20_2       DOUBLE
  bbands_middle_5_2d5       DOUBLE
 bbands_middle_10_2d5       DOUBLE
 bbands_middle_20_2d5       DOUBLE
   bbands_upper_5_1d5       DOUBLE
  bbands_upper_10_1d5       DOUBLE
  bbands_upper_20_1d5       DOUBLE
     bbands_upper_5_2       DOUBLE
    bbands_upper_10_2       DOUBLE
    bbands_upper_20_2       DOUBLE
   bbands_upper_5_2d5       DOUBLE
  bbands_upper_10_2d5       DOUBLE
  bbands_upper_20_2d5       DOUBLE
   bbands_lower_5_1d5       DOUBLE
  bbands_lower_10_1d5       DOUBLE
  bbands_lower_20_1d5       DOUBLE
     bbands_lower_5_2       DOUBLE
    bbands_lower_10_2       DOUBLE
    bbands_lower_20_2       DOUBLE
   bbands_lower_5_2d5       DOUBLE
  bbands_lower_10_2d5       DOUBLE
  bbands_lower_20_2d5       DOUBLE
             trix_5_3       DOUBLE
             trix_7_4       DOUBLE
            trix_12_9       DOUBLE
           trix_20_12       DOUBLE
           trix_60_20       DOUBLE
                cci_5       DOUBLE
               cci_14       DOUBLE
