                  column_name  column_type
                         date TIMESTAMP_NS
                   instrument      VARCHAR
                  report_date TIMESTAMP_NS
                   below_type      TINYINT
                   below_desc      VARCHAR
            organization_name      VARCHAR
                       author      VARCHAR
                 report_title      VARCHAR
              estimate_profit       DOUBLE
             last_report_date TIMESTAMP_NS
            last_report_title      VARCHAR
         last_estimate_profit       DOUBLE
        financial_report_date TIMESTAMP_NS
        financial_report_type      TINYINT
              fore_profit_max       DOUBLE
              fore_profit_min       DOUBLE
                       profit       DOUBLE
                   profit_mrq       DOUBLE
          fore_profit_max_yoy       DOUBLE
                   profit_yoy       DOUBLE
      fore_profit_max_mrq_yoy       DOUBLE
               profit_mrq_yoy       DOUBLE
   last_financial_report_date TIMESTAMP_NS
   last_financial_report_type      TINYINT
         last_fore_profit_max       DOUBLE
         last_fore_profit_min       DOUBLE
                  last_profit       DOUBLE
               conexpect_date TIMESTAMP_NS
             conexpect_profit       DOUBLE
          last_conexpect_date TIMESTAMP_NS
        last_conexpect_profit       DOUBLE
    last_conexpect_profit_mrq       DOUBLE
    last_conexpect_profit_yoy       DOUBLE
last_conexpect_profit_mrq_yoy       DOUBLE
            profit_below_rate       DOUBLE
