   column_name  column_type
          date TIMESTAMP_NS
    instrument      VARCHAR
          SIZE       DOUBLE
          BETA       DOUBLE
      MOMENTUM       DOUBLE
        RESVOL       DOUBLE
        SIZENL       DOUBLE
          BTOP       DOUBLE
      LIQUIDTY       DOUBLE
      EARNYILD       DOUBLE
        GROWTH       DOUBLE
      LEVERAGE       DOUBLE
    AGRIFOREST      TINYINT
        MINING      TINYINT
          CHEM      TINYINT
     IRONSTEEL      TINYINT
   NONFERMETAL      TINYINT
   ELECTRONICS      TINYINT
          AUTO      TINYINT
      HOUSEAPP      TINYINT
     FOODBEVER      TINYINT
       TEXTILE      TINYINT
    LIGHTINDUS      TINYINT
        HEALTH      TINYINT
     UTILITIES      TINYINT
TRANSPORTATION      TINYINT
    REALESTATE      TINYINT
    COMMETRADE      TINYINT
    LEISERVICE      TINYINT
          BANK      TINYINT
  NONBANKFINAN      TINYINT
 CONGLOMERATES      TINYINT
        CONMAT      TINYINT
     BUILDDECO      TINYINT
       ELECEQP      TINYINT
    MACHIEQUIP      TINYINT
       AERODEF      TINYINT
      COMPUTER      TINYINT
         MEDIA      TINYINT
       TELECOM      TINYINT
          COAL      TINYINT
         PETRO      TINYINT
          ENVP      TINYINT
        BEAUTY      TINYINT
