column_name  column_type
alpha_92087       DOUBLE
alpha_92088       DOUBLE
alpha_92089       DOUBLE
alpha_92090       DOUBLE
alpha_92091       DOUBLE
alpha_92092       DOUBLE
alpha_92093       DOUBLE
alpha_92094       DOUBLE
alpha_92095       DOUBLE
alpha_92096       DOUBLE
alpha_92097       DOUBLE
alpha_92098       DOUBLE
alpha_92099       DOUBLE
alpha_92100       DOUBLE
alpha_92101       DOUBLE
alpha_92102       DOUBLE
alpha_92103       DOUBLE
alpha_92104       DOUBLE
alpha_92105       DOUBLE
alpha_92106       DOUBLE
alpha_92107       DOUBLE
alpha_92108       DOUBLE
alpha_92109       DOUBLE
alpha_92027       DOUBLE
alpha_92028       DOUBLE
alpha_92029       DOUBLE
alpha_92030       DOUBLE
alpha_92031       DOUBLE
alpha_92032       DOUBLE
alpha_92033       DOUBLE
alpha_92034       DOUBLE
alpha_92001       DOUBLE
alpha_92002       DOUBLE
alpha_92003       DOUBLE
alpha_92004       DOUBLE
alpha_92005       DOUBLE
alpha_92006       DOUBLE
alpha_92007       DOUBLE
alpha_92008       DOUBLE
alpha_92009       DOUBLE
alpha_92010       DOUBLE
alpha_92011       DOUBLE
alpha_92012       DOUBLE
alpha_92013       DOUBLE
alpha_92014       DOUBLE
alpha_92015       DOUBLE
alpha_92016       DOUBLE
alpha_92017       DOUBLE
alpha_92018       DOUBLE
alpha_92019       DOUBLE
alpha_92020       DOUBLE
alpha_92021       DOUBLE
alpha_92022       DOUBLE
alpha_92023       DOUBLE
alpha_92024       DOUBLE
alpha_92025       DOUBLE
alpha_92026       DOUBLE
alpha_92063       DOUBLE
alpha_92064       DOUBLE
alpha_92065       DOUBLE
alpha_92066       DOUBLE
alpha_92067       DOUBLE
alpha_92068       DOUBLE
alpha_92069       DOUBLE
alpha_92070       DOUBLE
alpha_92071       DOUBLE
alpha_92072       DOUBLE
alpha_92073       DOUBLE
alpha_92074       DOUBLE
alpha_92075       DOUBLE
alpha_92076       DOUBLE
alpha_92077       DOUBLE
alpha_92078       DOUBLE
alpha_92079       DOUBLE
alpha_92080       DOUBLE
alpha_92081       DOUBLE
alpha_92082       DOUBLE
alpha_92083       DOUBLE
alpha_92084       DOUBLE
alpha_92085       DOUBLE
alpha_92086       DOUBLE
       date TIMESTAMP_NS
 instrument      VARCHAR
