feature	year	n_total	%0	%+	%-	%+inf	%-inf	%nan	%finite	mean	std	min	5%	25%	50%	75%	95%	max
close_raw	all	16083360	0	72.5896	0	0	0	27.4104	72.5896	20.4406	36.7539	0.09	2.89	6.64	12.2	22.88	59.6	2601
close_raw	2015	1424960	0	45.6911	0	0	0	54.3089	45.6911	23.1945	21.0233	1.11	6.31	11.01	17.06	27.94	59.43	467.57
close_raw	2016	1424960	0	49.493	0	0	0	50.507	49.493	19.9339	17.979	1.29	5.15	9.43	14.69	24.01	52.4	337.76
close_raw	2017	1424960	0	56.1948	0	0	0	43.8052	56.1948	19.1809	19.0036	1.09	4.99	8.81	13.86	23.36	50.02	719.11
close_raw	2018	1419120	0	60.6797	0	0	0	39.3203	60.6797	14.7264	18.7293	0.21	3.29	5.94	9.83	17.64	41.02	799.19
close_raw	2019	1424960	0	63.4935	0	0	0	36.5065	63.4935	13.9347	23.1922	0.13	2.9	5.37	8.86	15.77	38.7	1233.75
close_raw	2020	1419120	0	68.8821	0	0	0	31.1179	68.8821	19.8918	40.7736	0.12	2.55	5.46	9.97	20.24	65.02	1933
close_raw	2021	1419120	0	77.7703	0	0	0	22.2297	77.7703	24.6751	56.1763	0.12	2.69	5.88	11.22	23.82	81.1	2601
close_raw	2022	1413280	0	85.3712	0	0	0	14.6288	85.3712	22.8427	46.7614	0.12	2.78	6.2	11.8	23.44	73.36	2051.23
close_raw	2023	1413280	0	91.6706	0	0	0	8.32942	91.6706	21.5879	39.0798	0.12	2.66	6.48	12.46	24.3	66.26	1912.9
close_raw	2024	1413280	0	94.8069	0	0	0	5.1931	94.8069	17.2116	30.9703	0.09	1.97	5.71	10.88	20.26	48.5962	1770
close_raw	2025	1419120	0	96.591	0	0	0	3.40901	96.591	22.3852	37.335	0.11	2.39	7.06	14.02	26.41	64.3	1637.86
close_raw	2026	467200	0	98.028	0	0	0	1.97196	98.028	28.1259	49.2058	0.11	2.51	8.02	16.09	31.48	86	1868
up_lim	all	16083360	1.24352e-05	72.2444	0	0	0	27.7556	72.2444	25.3798	461.948	0	3.2	7.4	13.67	25.88	68.42	100000
up_lim	2015	1424960	0.000140355	46.5081	0	0	0	53.4917	46.5083	25.1437	22.7702	0	6.83	11.95	18.55	30.32	64.36	514.33
up_lim	2016	1424960	0	49.5128	0	0	0	50.4872	49.5128	21.8439	19.649	1.29	5.63	10.34	16.14	26.38	57.33	371.54
up_lim	2017	1424960	0	56.2119	0	0	0	43.7881	56.2119	21.0492	20.835	1.14	5.45	9.67	15.24	25.62	54.89	791.02
up_lim	2018	1419120	0	60.5978	0	0	0	39.4022	60.5978	16.2168	20.6163	0.23	3.62	6.53	10.84	19.44	45.11	879.11
up_lim	2019	1424960	0	62.7828	0	0	0	37.2172	62.7828	15.4279	25.6303	0.14	3.25	5.95	9.82	17.44	42.68	1357.13
up_lim	2020	1419120	0	67.5857	0	0	0	32.4143	67.5857	22.49	46.3219	0.13	2.84	6.07	11.1	22.75	74.41	2069.1
up_lim	2021	1419120	0	76.2241	0	0	0	23.7759	76.2241	29.5741	325.435	0.13	2.98	6.6	12.66	27.44	95.58	100000
up_lim	2022	1413280	0	84.4979	0	0	0	15.5021	84.4979	33.1786	820.036	0.13	3.1	7.01	13.38	27.07	86.84	100000
up_lim	2023	1413280	0	91.4059	0	0	0	8.59412	91.4059	31.1686	788.006	0.13	2.95	7.33	14.17	28.04	77.76	100000
up_lim	2024	1413280	0	94.8044	0	0	0	5.19557	94.8044	21.6298	415.737	0.11	2.18	6.44	12.43	23.49	57.01	100000
up_lim	2025	1419120	0	96.5934	0	0	0	3.40662	96.5934	27.8881	437.547	0.13	2.63	7.89	15.98	30.78	75.64	100000
up_lim	2026	467200	0	98.0319	0	0	0	1.96811	98.0319	38.3334	755.371	0.13	2.77	9	18.45	36.73	100.658	100000
dn_lim	all	16083360	0	72.2428	0	0	0	27.7572	72.2428	17.631	31.3768	0.07	2.59	5.89	10.74	19.82	50.91	2340.9
dn_lim	2015	1424960	0	46.5081	0	0	0	53.4919	46.5081	20.5917	18.626	1	5.62	9.81	15.19	24.82	52.66	420.81
dn_lim	2016	1424960	0	49.5128	0	0	0	50.4872	49.5128	17.8948	16.072	0.96	4.63	8.5	13.23	21.59	46.96	303.98
dn_lim	2017	1424960	0	56.2119	0	0	0	43.7881	56.2119	17.2394	17.0457	0.81	4.48	7.93	12.47	20.97	45	647.2
dn_lim	2018	1419120	0	60.5978	0	0	0	39.4022	60.5978	13.2806	16.8664	0.19	2.98	5.36	8.87	15.9	36.91	719.27
dn_lim	2019	1424960	0	62.7828	0	0	0	37.2172	62.7828	12.5822	20.7953	0.12	2.68	4.89	8.05	14.27	34.72	1110.38
dn_lim	2020	1419120	0	67.5857	0	0	0	32.4143	67.5857	17.5174	35.5964	0.11	2.38	4.93	8.965	18.02	56.14	1692.9
dn_lim	2021	1419120	0	76.2234	0	0	0	23.7766	76.2234	21.1288	47.8811	0.11	2.45	5.24	9.86	20.61	67.99	2340.9
dn_lim	2022	1413280	0	84.4922	0	0	0	15.5078	84.4922	19.4194	39.7941	0.11	2.49	5.46	10.26	20.07	60.77	1867.5
dn_lim	2023	1413280	0	91.4002	0	0	0	8.59978	91.4002	18.207	33.4393	0.11	2.34	5.59	10.76	20.56	54.85	1721.61
dn_lim	2024	1413280	0	94.8028	0	0	0	5.1972	94.8028	14.4789	26.6454	0.07	1.76	4.95	9.27	17.03	40.33	1593
